stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1.3,9.08,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.96,0,0,1.19,32.82,1.29,2.07,0,0,0,0,4.32,0,0,5.49,13.04,0,0,0,0,0
 24-34,0,0.68,1.61,0,0,0,0,1.01,0.78,4.06,1.93,0,0.8,0,0,0,0,0,22.35,0.79,0,2.99,112.47,0.62,0.78,1.16,0,11.75,0,0,0,0,0.84,18.45,0,0,2.15,0,0
 36-46,0,0,0,0,0,15.73,3.42,0,1.46,10.64,0,0,2.52,0,2.14,0,0,5.9,48.9,0,0,10.95,244.75,1.27,2.27,6.22,0,16.36,0.78,0,0,0,0,24.96,0,0,6.05,0,13.97
 48-58,0,0,6.66,0,0,37.13,1.13,0,2.95,16.87,0,0.82,12.53,0,0.63,0,0,1.31,80.17,0,0.44,7.33,274.37,0,0,0.54,0,8.81,0,0,2.28,1.65,0,37.09,0,0.51,1.09,0,1.32
 60-70,0,0,2.13,1.08,0,68.17,0,0,2.42,45.75,0,3.64,9.23,0,0,0,0,0,157.4,1.14,2.22,13.11,423.38,0,1.81,7.85,0,5.32,0,0,11.06,0,0,55.4,0.77,0,11.22,0.59,1.96
 72-82,0,0,2.03,2.33,0,79.26,2.53,0,4.69,94.79,0.54,1.09,15.48,0,1.42,3.65,0,1.36,167.93,0,3.01,17.27,337.14,2.48,2.62,1.28,7.58,1.5,0,0,0,0,0,27.16,0,1.76,20.29,4.53,3.96
 84-94,0,0,3.49,2.11,0,46.01,0,1.01,0.74,43.28,0.62,1.79,23.03,0.57,1.42,0.71,0,0.73,147.78,0,7.96,12.44,265.58,0.76,0,4.91,0.83,22,0,0,0,0,0,18.48,3.86,0,8.71,0.77,0.55
 96-106,0,0,3.61,1.26,0,43.52,0.86,1.6,0.85,61.53,1.21,1.38,31.32,0,13.26,0,6.49,0.69,116.08,3.74,5.36,7.37,225.8,0,5.85,4.71,2.45,11.68,0,0,0,0,0,15.77,0,5.82,17.98,1.58,2.2
108-118,0,0,3.34,1.92,0,48.47,0,1.18,0.64,50.17,1.28,0,34.83,0,1.25,0,0,6.49,92.68,0.53,1.43,8.51,234.5,2.41,0.7,8.2,4.36,24.01,0,0,0,0,0,6.37,0,0,14.54,2.42,1.02
120,2.37,0,1.14,18.76,3.41,51.84,7.29,0,2.59,142.12,0,0,79.65,0,3.01,0,0,0,122.87,0,2.03,9.25,488.01,0,2.28,13.74,13.85,9.78,0,0,1.47,0,0,7.69,0,0,6.94,6.45,0
