stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.57,0,0,0,0
  5-6,11.57,30.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,58.03,0,0,26.67,0,0,0,0,0
 10-12,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,28.26,5.55,0,16.69,0,0,0,0,0
 14-21,0,0,2.28,0,1.89,0,0,0,0,0,0,0,0.94,0,0,15.41,0,0,0,0,1.72,0,0.98,0
 24-34,0,0,0,0.66,0.69,0,0,0,0,0,0,0,0,0,0.88,29.58,0,0,0,0,0,0.72,0,12.33
 36-46,0,0,0,0,0.81,0.56,0,0,0,0,0,13.17,0,0,0,23.13,0,0,0,0,0,0,5.26,3.2
 48-58,0,0,0,0,3.04,0,0,0,0,0,0,0,0,1.39,0.94,1.87,0,0,0,0,0,0,0,0.56
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,7.67
 72-82,0,0,0,0,0,0,2,0,0,0,0,0,0,0.76,0,0.8,0,0,0,1.99,0,0,0,8.56
 84-94,0,0,0,0,0,0,0,0.73,0,2.14,0,0,0,0,0.71,1.62,0,0.92,0,1.74,0,0,0,0
 96-106,0,0,0,0,0.73,0,0,0,0,0,0,0,0,3.62,3.02,0,0,0,0,0.56,0,0,0,6.47
108-118,0,0,0,0,0,0,2.25,0,0,0,2.63,0,0,7.07,0,0,0,0,0,0,0,0,0,0
