stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.46,338.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,89.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.57,0,0,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.66,0,0,0,24.4,0,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.68,10.65,0,0,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.93,1.73,0,6.15,0,0.95,0,1.72,0.97,0,0,0,0,0,0,0,3.2,0,1.67,65.67,0,0,0,1.74,0,0,0,1.81,0,1.97,8.85,29.18,0,0,2.46,0,0
 24-34,0,0,0.97,0,7.09,0,0,13.64,0,0.93,0,3.53,0,2.74,0,3.1,0,0,0.76,0,16.1,0,3.62,200.76,3.42,2.37,0.68,0,0,1.66,0,0,3.98,0.68,1.58,65.34,0,0,3.56,0,0
 36-46,0,0,0,0,1.76,0,0,29.05,0.59,0,0,2.9,0,0.88,0,0,0,0,0,8.51,18.49,0.8,10.69,186.56,0.61,0,0,0,0,10.77,0,0,0.59,0,0,59.83,0,0,6.74,0,1.28
 48-58,0,0,0,0,0.81,0,0,42.04,3.16,7.64,0.45,22.53,0,2.82,4.81,0,0,0,0,1.67,9.48,0.38,6.27,133.26,0,2.1,0.69,0,0,5.52,0,0,0,3.82,0,48.16,0,0.64,1.15,0,2.96
 60-70,0,0,0,0,0.6,0,0,197.83,1.8,0.73,1.64,46.59,0,0.58,1.44,0.67,0.66,0,0,0,29.85,8.39,2.41,149.17,1.31,0.96,0.79,0,0,11.66,0,0,4.34,0.64,0,48.39,0,0.7,0,0,0
 72-82,0,0,0.62,0,0.63,12.93,0,163.48,0.91,2.98,3.62,102.44,0,0,0.64,0,0,0.79,0,19.22,46.07,4.66,1.74,222.95,0,1.62,5.4,0,0,6.45,0,0,0.52,2.23,0,38.94,0,1.62,12.63,0,8.93
 84-94,0,0,1.05,0,7.33,0,0,132.51,3.68,0.83,0.92,86.44,4.4,0,0,4.83,1.96,1.88,0.57,0,49.84,0.56,2.32,162.21,0.57,0,3.16,0,0.79,9.09,0,0,1.42,0.96,0,13.68,2,0,6.63,6.09,7.39
 96-106,0,0,2.46,0,4.54,8.76,0,202.13,5.26,0,4.1,126.97,0.74,1.3,1.12,1.67,0.71,0,0,0,68.23,12.53,9.15,178.59,0,0.6,3.04,0,0,9.23,0,0,2.8,1.47,0,17.49,0,4.95,16.37,1.77,4.12
108-118,0,0,0,0,8.68,3.08,0,173.97,3.53,1.41,5.57,104.08,0.45,0,8.41,3.06,0.78,0,0,0.55,54.69,12.96,5.47,174.62,7.26,0.7,2.98,0,3.19,6.49,0,0,5.69,1.44,0,9.51,0.42,1.32,7.15,2.8,1.34
120,0,0,0,0,11.36,0,1.71,121.11,1.01,0,0,179.35,0,0,9.39,9.11,0,3.58,0,0,83.28,31.9,1.11,355.04,0,3.08,0,0,0,5.19,0,0,2.6,3.21,0,43.23,0,5.64,3.24,18.94,4.37
