stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,59.2,950.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.07,0,0,0,0,0,0,0,0,0,0
  5-6,67.5,1091.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.26,0,0,0,6.56,0,12.58,0,0,0,0,0,0,0,0,0,0
  7-9,46.65,54.86,0,39.15,0,0,0,28.16,0,0,0,0,0,27.25,0,0,0,0,0,0,0,0,0,0,0,857.76,23.8,0,0,273.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,55.6,0,28.86,0,0,0,96.11,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,784.6,19.04,0,0,283.6,0,0,10.72,32.71,0,0,0,0,0,0,0,0
 14-21,0,0,0.82,0,26.57,2.98,0,10.46,0,0,0,8.75,0,0,2.96,0,0,0,0,0,0,9.9,0,0,13.61,238.25,7.27,0.96,0,3.7,0,3.18,20.02,2.09,2.37,29.95,49.74,0,0,0,0,0
 24-34,0,0,0.8,1.87,8.56,0,0,28.64,0,0,0.68,3.2,0.67,0.93,0.92,3.35,0,1.74,3.81,0,0,26.96,0,0,14.95,437.87,2.11,1.32,2.96,0,0,2.21,0,0,0,7.88,86.91,0,0,3.52,0,0
 36-46,0,0,0,0,1.93,0,0,82.91,0,0,1.32,12.69,0,0,2.5,0,0,3.97,3.78,0.83,0,44.89,0,0,12.73,464.69,0.57,5.18,0.69,0,0,8.33,0,0,0,0,106.71,0,0,2.69,0,0
 48-58,0.77,0,0,0,4.59,0.68,0,126.91,0.44,0,0.67,16.69,0.92,0,0,3.05,0,0,0.89,3.95,8.13,57.05,0,1.91,7.35,397.95,0.54,2.39,1.57,0,0,5.07,0,0,0,0,75.81,0,0,4.66,0,2.37
 60-70,0,0,0,0,4.43,0,0,173.31,2.93,0,7.21,37.07,0,0,0,1.1,0,0.72,0,0,0.93,44.34,0.84,3.15,7.69,328.13,0,1.17,1.16,0,1.44,4.73,0,0,0,0,51.65,0,0,0,0,1.98
 72-82,0,0,0.57,0,4.9,0,1.86,134.27,0,0,0,16.38,4.12,0,1.94,0,0.54,2.18,2.26,0,0,37.7,0,0,5.92,185.33,3.81,3.38,0.99,0,1.4,2.55,0,0,0,0,8.86,0,0.99,5.17,1.72,2.63
 84-94,0,0,0,0,8.46,0,0,79.72,0,0,0.59,14.2,9.27,0,0,0,1.21,0.74,2.12,0,4.83,41.79,0,0,3.7,119.91,0,2.48,4.18,0,0,8.6,0,0,0,0,8.61,0,0.57,1.75,4.3,0
 96-106,0,0,0.81,0,6.47,2.66,0,71.1,0,0,3.35,13.4,3.92,0,0,1.91,0.61,0.69,1.07,8.87,0,27.74,3.06,0,1.66,87.13,0,3.79,4.9,0,0,7.58,0,0,0,0,1.03,1.17,0,0,0,0
108-118,0,0,0,0,11.2,0,0.63,79.42,0,0,0,18.21,3.22,0,0,3.2,0,2.17,0.69,7.49,0,21.12,0,0.76,4.94,148.37,0,4.33,1.29,0,0,9.36,0,0.44,0,0,7.93,0.83,2.14,1.67,0,0
120,0,0,0,1.28,2.55,0,0,28.83,0,3.21,0,2.47,11.81,0,0,2.69,0,0,0,2.12,0,35,0,2.21,5.17,164.19,3.53,0,0,0,0,2.18,0,1.22,0,0,0,0,0,1.66,0,0
