stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,127.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,222.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,6.04,7.29,0,0,0,37.53,0,0,0,0,9.51,0,0,0,0,0,0,0,0,0,0,234.06,13.8,0,0,78.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,34.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.09,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.77,2.43,0,9.21,0,0,3.08,0.99,0,0,0,0.81,0,0,0,1.08,3.78,0,8.29,95.18,1.31,0,0,0.84,0,0,10.31,0,13.64,19.77,0,3.81,0,0
 24-34,0,0,1.44,2.76,0,0,12.91,0,0,1.92,0.67,0,0,0.62,0,0,0,0,0,11.66,0,6.68,170.27,0.62,0,1.27,0,0,0,0,0,0.64,27.31,0,0.8,0,0
 36-46,0,0,0,1.4,0,0,16.54,0,0,10.96,0,0,0,0,0,0,0,0,0,18.32,0,5.11,144.84,0.84,1.14,0,0,0,0,0,0,0.91,24.87,0,2.9,0,0.67
 48-58,0,0,0,0.79,0,0,42.42,1.66,1.43,9.65,1.61,0,0,0,0,6.3,0,0,0,24.74,0.71,8.3,143.52,0,0.42,0.66,0,0,0,0,0,0,32.52,0,0,0,0
 60-70,0,0,0,1.45,0,0,59.31,0.68,0,5.61,0,0,0,0,1.69,4.16,0.82,3.59,0,23.16,0,3.08,163.03,0,0,0,0,0,3.64,0,1.79,0,10.59,1.44,6.82,0,0
 72-82,0,0,0,2.55,0,0,28.73,0,3.66,2.72,0.86,0,0,0,0,0.55,0,0,0,47.11,0,0,115.37,0,0,6.45,0,0,0,0,0,0,8.29,0,4.24,0,1.68
 84-94,0,0,0,2.86,0,0,21,1.05,1.95,2.78,0.68,0,0,0.58,0,0,0,0,0,17.56,0,2.87,77.99,0,2.17,3.38,0,0,8.12,0,0,0,11.62,0.61,11.02,3.33,0
 96-106,0,0,0,3.15,4.6,0,9.53,0,2.72,4.21,0,0,1.46,0.87,0,0,0,0,0,20.9,0,4.11,67.54,0,0,0,0,1.32,0,0,0,0,11.76,0,2.54,0,0
108-118,0,0,0,3.98,0,0.99,15.08,0.56,1.85,12.69,0,0,0,0,0,0,0,0,0,17.71,5.91,3.47,70.22,0,1.43,0,0,0,0,0,0,0,2.39,0,0,0,0
120,0,0,0,17.09,0,0,18.19,0,0,13.89,0,0,0,4.69,0,0,0,0,0,12.8,0,5.29,95.56,3.19,0,0,0,0,0,0,0,0,8.31,0,12.3,0,0
