stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature
  5-6,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.84,0,0,0,0,14.31,0.83,0,0.97,1.21,0.88,1.37,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.57,0.73,4.55,0,0,0.61,0,0,4.03,0,1.05
 36-46,0,0,0,0.7,0,0,0,0,0,0,0,17.3,0,0,0,0,0,5.29,0,0
 48-58,0,0,0,2.34,0.61,0,0,0,0.49,0,0,7.87,0,0,0,0,0,2.18,0,0
 60-70,0,0,0,2.41,0,0,4.06,0,0,1.4,0,12.79,0.57,0,0,0,0,1.52,0,4.2
 72-82,0,1.44,0,2.71,0,0,0.62,0,0,1.17,0,10.16,0,0,0,0,0,0.63,0,0
 84-94,0,1.3,1.48,4.11,0,0,0.74,0,0,0,0,2.21,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.56,0,3.45,0,0,0,0,0,0,0,0,1.92,0,0,0,1.82,0
108-118,0,0,0.6,3,0,0,3.82,0,0,8.42,0,7.36,0,0,1.29,0,0,0,0,2.87
120,0,8.31,0,0,0,0,1.78,1.24,0,5.79,5.16,26.48,0,0,0,0,0,0,0,0
