stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.09,0,0,0,0,0,0,0,0,0
  5-6,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.04,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.37,0,0,6.88,56.47,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.95,0.91,0,0,0,0,0,0,0,0.92,0,0,258.4,0,0,0,0,29.4,0,0.88,3.52,0,0,0,19.58,0.8,0,0.86,4.02,0,0,0,0,0
 24-34,0,0,0,5.16,0,0,8.06,0,0,0,0,1.35,0,0,0,683.7,0,0,0.61,7.38,64.1,0,0.64,25.62,23.16,0,0,39.46,0,0.86,0,16.2,0,0,0,0,0
 36-46,0,0,0,12.81,0,0,44.29,2.35,3.5,0,1.02,0,0,0,1.56,323.24,0,0,0,0,44.26,0,0,33.67,21.22,0,0,86.76,0,0.58,0,6.29,0,0,0,0,0
 48-58,0,0,0,26,0,0,70.42,0,2.59,0,13.58,0,0.65,0,18.87,159.28,0,1.47,0,4.2,15,0,3.56,67.82,14.34,0,0,93.08,0,0.7,0,6.4,0,0,1.5,0,7.14
 60-70,0,0,0,56.43,0,0,137.46,0,7.3,0,99.47,0,0,1.06,22.66,176.15,0,1.34,0,10.09,10.71,0,0,94.25,25.91,6.95,0,339.13,0,0,0,0,4.32,0,0,0,0
 72-82,0,0,0.56,64.34,2.93,0,133.48,0,5.65,0,145.84,3.85,0,0.89,51.23,234.24,0,4.58,0,10.39,11.65,1.39,0,169.74,40.3,1.28,0,442.03,0,0,0,10.45,4.13,0,0.73,2.39,7.36
 84-94,0,0,0,139.91,12.36,0,57.21,0,11.64,0,117.31,2.06,0,0,47.65,410.22,0,12.77,0,5.67,29.68,0,0,118.62,148.1,1.27,0,1165.77,0,3.22,0,15.63,25.87,0.62,1.63,0,0
 96-106,0,0.95,0,238.68,21.74,0,77.48,0.95,9.69,0,136.57,16.08,0,1.93,43.3,480.96,0,32.78,2.31,21.73,15.5,0,0,185.15,200.59,0,0,1268.19,0,0,0,0.68,46.63,0.87,11.66,0,0
108-118,0,0,0,182.21,4.69,3.4,74.01,0,19.24,0.66,159.69,8.37,0,1.63,50.5,434.63,0.79,19.46,11.5,15.22,33.74,10.27,0.55,194.13,125.36,2.33,0,1064.53,0,0,0,3.65,41.74,0,1.45,1.31,0
120,0,0,0,161.95,0,0,97.06,0,17.58,0,136.83,14.77,0,0,62.19,245.85,0,19.3,3.92,12.63,26.98,0,8.04,232.54,79.68,0,0,861.69,0,0,0,0,19.31,0,5.97,0,3.85
