stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,152.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,128.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.86,0,0,0,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.79,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.73,0,0,0,30.64,0,0,5.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,50.16,8.22,0,9.55,0,0,0,1.35,0,1.45,0,0,0,0,0,0,21.26,0,0,34.18,133.71,0.91,1.19,2.42,2.69,0,6.36,1.12,22.88,0,31.83,161.11,26.31,0,0,0,0,0
 24-34,0,0,0,4.92,9.75,0,9.2,3.82,0,0,3.33,0,3.04,0,1.7,0.7,0,0,0,6.02,0,0.89,2.48,34.14,33.75,1.33,0,0,0,2.78,0,0,1.46,9.09,8.02,4.57,0,0,4.54,0,0
 36-46,0,0,0,33.46,43.37,0,14.18,12.25,0,0.6,2.79,0,28.51,0,0,1.44,0,0,0,25.33,0.72,0,1.29,36.47,4.58,1.3,1.89,0,0,25.02,0,0,2.97,2.09,0,4.27,0,0,0,0,0
 48-58,0,0,0,2.5,9.3,0,32.9,18.56,1.62,0,0.91,0,7.84,2.68,0.39,0,0.69,2.77,0,16.1,0,0.69,5.37,36.15,1.95,2.02,0,0,0,0.44,0,0,0,3.79,0,6.26,0,0,0.56,0,3.66
 60-70,0,0,0,3,227.23,0,132.59,14.14,6.19,0.59,17.66,0,3.33,0,0.71,0,1.47,0,0,35.44,0,1.05,8.06,59.62,1.16,0,5.59,0,0,1.84,0,0,1.77,1.72,0,7.3,0,0,0,0.94,0
 72-82,0,0,0,17,12.97,0,128.83,0.9,5.25,0,24.35,1.86,3.44,0,0.75,0.49,0,0,0,62.5,0,1.07,5.99,37.31,0.73,0,1.88,0,8.78,3.91,0,0,1.32,1.29,0,1.41,0.71,0,0,4.82,0
 84-94,0,0,0,4.28,19.83,0,104.8,0,3.93,0,29.82,1.17,7.78,10.86,0,0.63,0,0.72,0,28,0,4.4,6.53,145.59,1.4,1.58,12.35,0,1.53,10.41,0,0,0.64,0,0,0,1.53,0.64,0.6,2.5,0
 96-106,0,0,0,8.51,5.05,0.97,74.57,3.57,2.16,3.14,46.62,2.24,5.2,0.79,0.73,0,1.64,96.66,3.44,57.09,0,2.41,2.95,28.36,1.21,4.79,23.83,0,1.03,4.02,0,0,1.03,0.72,0,0,2.64,1.98,1.73,10.46,0
108-118,0,0,0,32.83,34.54,1.47,343.36,1.92,29.04,4.99,266.17,9.09,2.23,3.24,28.55,0.41,3.59,16.54,26.22,182.82,2.72,2.56,51.79,733.87,7.57,1.92,96.58,0,7.65,26.11,0,0,24.43,1.98,0,9.38,49.73,3.12,3.55,6.84,0.89
120,0,0,0,12.57,12.8,0,129.08,1.78,2.27,0,40.13,1.69,0,27.59,1.48,1.01,5.79,1.38,0,56.57,0,0,13.25,185.29,4.08,0,34.49,0,7.72,6.64,0,0,2.26,0,0,0,0,0,2.48,0,0
