stage,epidermis,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,mesenchyme,neural,olfactory,otic,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,9.27,0,0,5.22,0
 24-34,0,0,1.03,0,0,0,0.78,1.07,17.17,0,0.63,3.69,0
 36-46,0,0,6.56,0,1.27,0,0,0,26.75,0,0,8.26,0
 48-58,0,0,20.44,0,1.42,0,0,0.78,44.79,0,0,7.77,0.75
 60-70,0,0,8.21,0,0.74,0,0,0,19.2,0,0,12.62,2.23
 72-82,0,2.94,29.07,0,0,0,0,0,56.1,0,0,0,0
 84-94,0,0,15.88,0,0.58,0,0,0,24.72,1.91,0,0,0
 96-106,1.09,1.14,8.38,0,0,0,0,1.09,12.26,0,0,3.32,0
108-118,0,0,22.33,0,0,0.48,0,0,23.97,0,0,0,0
120,0,0,20.42,5.69,0,0,0,0,104.7,0,0,0,0
