stage,epidermis,eye,fin_mesenchyme,glial,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros
  7-9,0,0,0,0,0,0,11.19,0,0,0,0,0
 10-12,0,8.85,0,0,0,0,14.5,0,0,0,4.15,0
 14-21,0,0,0,0,0,0,0,2.78,0,0,0,0
 24-34,1.29,0,0,0,0,0,1.27,0.63,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.79
 48-58,0,2.44,0,0,0.38,1.46,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.94,5.25,0,56.56,0.65,0,0
 72-82,0,0.63,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.88,0,0,0,0,0,0,0,0,0
120,0,0,0,4.05,0,0,0,0,0,0,0,0
