stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,50.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,6.81,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,12.33,11.13,0,0,14.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.61,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,3.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,0,0,37.67,0,1.57,0,0,0,0,0,23.31,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0.76,279.33,0,26.05,0,0,0,0.61,0,90.42,0,0,2.13,0,0
 36-46,0,0,1.63,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,2.44,699.42,0,25.71,0,7.09,0,1.02,0,118.85,0,0,0,0,4.11
 48-58,0,0,1.32,0,2.27,0,0,97.96,0,3.17,1.04,9.83,0,0,0,0.98,0,0,0,6.88,0,0,0,1028.45,0,20.45,0.39,0,0,1.91,0,153.08,0,0,0,0,0
 60-70,0,0,0.91,0,9.69,0,0,377.53,0,0,1.8,4.76,0,0,0,0,0,0,0,15.82,0,0,1,1609.38,0,17.11,0.85,0,0,0,0,190.11,0,0.9,0,0,0
 72-82,0,0,1.73,0,8.12,0,0,815.2,0.95,0.5,0,29.7,0.56,0,0,5.83,0,0,0,22.96,0,0,0.66,1785.6,0,35.38,6.82,0,2.36,2.03,0.73,185.81,3.98,0,0,0.9,7.54
 84-94,0,0,0,0,4.73,0,0.92,565.19,0,0,0,19.87,0,0,1.63,0,1.61,0,0,28.86,0,3.37,0.91,1561.57,0.65,33.13,1.36,0,0.83,6.19,0,150.01,0.9,1.37,6.47,5.66,0
 96-106,0,0,2.09,0,39.39,10.71,0,951.37,0,0,0.64,41.17,2.43,0,0,0,0,23.52,7.05,24.19,0,0,1.34,1341.7,0,43.9,7.76,0,0,6.13,0,69.61,0,0,3.8,1.22,0
108-118,0,0,1.53,0,10.91,0,0,794.19,0.65,0,0,49.64,3.66,0,2.68,0,0,0,0,25.89,0.45,0,0,1489.84,0,35.24,8.84,0,0,1.65,0.84,36.17,0.68,1.37,8.85,0,1.55
120,0,0,5.06,0,10.66,0,0,798.99,0,0,12.74,40.22,0,0,3.53,0,0,0,0,47.21,1.65,0,2.92,2179.2,0,63.58,9.26,0,0,0,0,150.53,0,0,0,0,0
