stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,37.07,516.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,26.61,267.27,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,22.89,0,0,36.57,0,0,0,0,0,0,0,0,0
  7-9,0,17.02,0,0,0,47.39,0,0,0,0,3.77,0,0,0,0,0,0,0,145.84,0,0,0,83.25,0,0,0,0,0,0,0,0,0
 10-12,0,8.19,23.47,0,0,5.69,0,0,0,0,4.92,0,0,0,0,0,0,0,137.85,0,0,0,88.2,0,6.41,0,15.64,0,0,0,0,0
 14-21,0,0,0.86,4.91,57.2,4.39,0,0,0,1.09,0,0,5.81,0,0,4.32,0,0,35.48,0.82,0,0.99,0,0,0,8,0,0.8,1.19,4.59,0,0
 24-34,0,0,0,2.71,8.07,3.25,0,0,0,0,0,0,26.94,0,0,0.8,0,1.85,25.51,0,0,0,0,1.92,0,0,0,0,0,6.96,0,0.69
 36-46,0,0,0,0.6,0,2.04,0,0,0,0,0,0,24.11,0,0,4.55,0,0,20.91,0.57,0,0,0,0,0,0,0,0,0,16.16,0,0
 48-58,0,0,0,0.91,0,8.47,0,0.41,1.89,0,0,0,37.04,0,0.51,3.74,0,1.04,24.66,0,0,0,0,0.37,0,0,0,0,0,2.42,0,0.38
 60-70,0,0,0,0,0,13.38,0,0,1.32,0.75,0,0.66,42.6,0,0,3.26,7.81,2.17,26.97,0,1.48,0,0,0,0,0,0,0,0,3.24,0,0.7
 72-82,0,0,0,0,1.96,1.37,4.55,0,2.34,0,0,0.91,62.65,0,0,6.8,0,0.5,24.55,0,0,0,0,0,0,0,3.73,0,0,0,0,7.08
 84-94,0,0,0,1.61,0,7.93,0,0,4.33,0.95,0,0,100.51,0,0,2.86,0,0.96,8.8,0,0,0,0,2.32,0,0,0.9,0,0,0,0,2.32
 96-106,0,0,0,0.97,4.84,0.6,0,0,0,1.11,0,3.29,75.62,0,0,1.22,0,0,19.75,0,0,0.98,0,0,0,0,0,0,0,0,1.15,6.99
108-118,0,0,0,1.96,2.04,9.06,0,0,1.85,1.31,0,0,93.56,1.34,0,19.62,0,0,16.58,0,0,0,0,0,0.42,0,0,0,0,0,0.86,7.76
120,0,0,0,4.76,0,21.99,0,0,4.62,0,0,0,113.63,0,0,11.97,0,1.11,19.47,0,0,0,0,0,0,0,0,0,0,0,0,3.38
