stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,11.37,0,0,3.95,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,0,0,57.21,0,0,16.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,0.94,218.09,0,5.81,0,0,0,9.9,0,0,1.3,0,0.8,0,0,0,0.81,0,0,1.02,47.4,0,0,0,0,303.85,0,4.97,0,2.16,31.87,78.15,0,0,0,0,0
 24-34,0,0,25.64,0,296.26,0,7.74,0,2.58,0,2.05,0,0,0,2.63,0.86,0.79,10.05,1.75,9.25,1.1,0,22.52,586.36,3.05,0.61,0,0,643.57,0,0,1.04,0.93,8.03,119.81,0,0,1.07,0,0
 36-46,0,0,8.56,0,205.91,0,3.34,0,16.65,0,17.36,0,0,0,3.12,0,0,0.87,0,16.84,7.52,0,10.44,810.29,0,0.61,0,0,924.04,0,0,0,0,0,184.03,0,0,8.99,0,6.85
 48-58,0,0,28.16,0,166.86,0.41,39.22,1.83,38.55,0.64,15.91,0,0,3.93,0,0,0,0,3.71,12.88,4.49,0,46.35,537.52,0,0,0,0,674.97,0,0,0,2.39,1.66,79.93,0,0,0,0,0
 60-70,0,0,5.38,0,167.65,0,52.23,3.4,58.71,0.84,24.34,0,0.66,0,0,0.84,1.03,0,0,14.13,7.41,0,28.27,608.66,0,0,0,0,452.83,0,0,0,0.73,0,45.99,1.72,0,0,0.57,0
 72-82,0,0,14.61,0,136.43,3,131.07,1.13,44.21,0,63.99,0,0,0,0.68,0.71,0,0,0,22.47,1.13,0,19.92,915.48,2.23,0.56,0,2.75,305.77,0,0,0,0,0,86.54,1.16,0,6.57,0,5.43
 84-94,0,0,20.4,0,375.22,4.7,108.81,2.71,72.4,1.55,53.7,0,0,0,1.49,4.8,0,0,0,13.46,2.52,0.84,21.85,768.63,1.46,0,0,0,736.91,0,0,0,1.01,0,58.44,0.72,0,5.09,0,0
 96-106,0,0,8.69,0,309.92,12.35,136.79,4.55,62.87,0,39,3.32,0,1.53,0,14.69,1.33,15.88,0,32.86,6.95,0.62,25.06,845.51,1.23,2.38,0,0,643.57,1.35,0,0,0,0,67.8,6.17,0,0,0,1.4
108-118,0,0,7.93,0,307.14,4.53,100.3,0.98,72.67,0.71,81.2,2.5,0,0,0,10.37,0,3.03,0,21.31,6.54,0,22.2,1246.64,1.07,0,0,0,407.18,0,0,0,0,0,34.94,14.19,1.1,0,2.32,0
120,0,0,0,0,174.73,2.43,141.65,9.37,51.26,0,113.08,0,0,0,0,1.35,0,0,0,30.06,5.74,0,24.07,1582.76,0,17.05,0,0,267.26,0,0,0,0,0,11.01,1.12,0,1.89,0,10.98
