stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.26,170.85,0,0,0,0,0,0.91,0,13.47,21.39,0,0,0,4.19,0,0,0,33.97,0.85,0,0,0.86,0,0,0,14.69,0,1.99,0
 24-34,0,0,0.67,1.47,453.51,0,1.47,0,0,0,0,0,10.23,9.82,0,0,0,2.07,1.24,0,0.76,121.83,0,1.27,0,0,0,0.88,0.59,17.51,0,5,0
 36-46,0,0,0,1.39,124.43,0,6.17,0,0,0,2,0,9.29,0,0,0,0,12.1,0,0,0,104.4,0,0.61,0,0,0,0.65,0,40.53,0,1.75,0
 48-58,0,0,0,9.65,177.1,0,5.86,0.68,0,1.41,2.47,0,1.51,0,0,0,0,12.23,0,0,0.39,79.5,0,0,0,0,0.56,0,0,21.11,0,0,0
 60-70,0,0,0,5.42,251.68,0,39.11,0,0,4.79,2.24,0,2.25,0.78,7.84,0,1.02,55.77,0,0,0.56,58.4,1.76,0,0,0,0,0,0,16.66,0,5.09,0
 72-82,0,0,0,1.27,361.03,0,10.32,0,0,4.21,7.67,0.53,12.86,1.08,0,0,0,69.21,0,0,0,47.96,0,0.84,0,0,0,0,0,8.88,1.24,5.31,0
 84-94,0,0,0,1.37,337.72,0,17.82,0,0.67,10.36,7.29,0.68,2.12,2.67,0,0,0,79.23,0,13.78,0.78,35.41,0,3.34,0,0,0,0,0,3.83,0.71,5.18,0
 96-106,0,0,0,8.17,507.42,0.63,13,0,0.98,0,4.87,0,5.24,1.46,0,0,0,123.6,0,16.09,3.58,48.2,0,0,0,0,0,0.71,0,2.85,0,2.31,0
108-118,0,0.52,0,3.22,260.84,0.45,4.12,0,0.77,0,1.94,1.24,1.39,0.76,0.67,1.25,0,39.23,0,0,0,47.55,0.44,0,1.13,0,1.1,1.63,0,3.12,0,1.71,0.73
120,0,0,0,3.72,424.33,0,2.63,0,0,0,37.27,0,4.91,0,0,0,0,20.08,0,2.35,1.39,156.03,0,0,0,0,0,5.68,0,8.17,0,10.71,0
