stage,endocrine.pancreas,eye,glial,gut,neural,periderm,pronephros
  7-9,0,0,0,0,5.15,0,0
 10-12,0,0,0,0,0,0,12.63
 36-46,0,0,0,0,0,1.55,0
 48-58,0,0,0.93,0,1.6,0.89,0
 72-82,0,0,1.16,0,3.56,1.65,0
 84-94,0,0,0,0.57,0,0,0
 96-106,1.28,0,0,0,0,0,0
108-118,0,0.68,0,0,0,0,0
120,0,0,0,0,0,1.41,0
