stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,1.07,7.7,9.21,0,7.03,0,0,3.95,0,0,0,0,0,0,3.13,11.86,0,0,2.61,158.46,16.59,1.37,1.5,0.95,0,12.7,1.37,4.4,35.97,0,1.92,0
 24-34,0.83,0.75,6.45,0,0,91.37,1.86,0,2.93,0,0,1.54,0,0,0.78,0,47.96,0,0,11.94,725.08,1.07,2.57,1.59,0,3.17,0,0,0.65,122.55,0,6.29,0
 36-46,0,0,9.78,7.22,0,259.48,0,0,14.86,1.33,0,0.64,0,0,0,0,29.38,0,1.77,6.23,645.29,0.72,2.47,3.76,0,12.13,0,0,0,86.41,0,1.6,0
 48-58,0,0,2.04,4.03,0,356.58,0,0,13.72,0,0.71,0.54,0,0.41,2.59,1.88,40.74,2.38,4.2,10.56,409.26,0.56,0,0.46,0,3.91,0,0,0,38.19,0,2.43,0
 60-70,0,0,7.95,2.99,0,292.72,14.48,0,19.86,0.62,0,7.96,0,0,1.12,3.59,45.5,0,1.05,0,212.43,3.82,1.22,1.67,0,0,0,0,0,19.86,0,1.09,0
 72-82,0,0,1.55,0.56,0,75.57,0,0,9.02,2.08,0,0.49,0,0,0.73,0,15.4,0,0.66,0.68,63.67,0,1.46,0,0,1.42,0,0,0,0.7,0,3.82,0
 84-94,0,0,3.39,1.03,0.78,69.44,0,1.01,20.7,0.72,5.7,2.94,0,0,0.81,0,31.03,0,2.02,13.23,73.71,0,0,0,0,0.66,0,2.39,0,1.19,2.34,14.95,0
 96-106,0,0,0,0,0,42.2,0,0,4.08,0.6,0,1,0,0,0,0,8.66,0,0,1.26,38.42,0,0,1.37,0,3.78,0,0,0,0,0,0,0.66
108-118,0,0,4.34,7.04,0,43.21,0,0,8.3,1.55,0,0.41,0.44,0,0,0,13.01,0,1.04,0.56,62.11,0,0,0,0,0.42,0,0,0,0,1.21,0.62,0
120,0,0,2.83,1.9,0,98.28,0,0,24.28,1.41,0,6.31,1.36,0,0,0,14.63,0,0,2.04,203.75,0,0,4.71,0,0,0,0,0,4.39,0,3.14,0
