stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,101.1,0,0,0,0,0,0,0,0,0,0,34.76,0,0,0,0
  5-6,71.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,158.09,8.38,124.58,0,7.71,0,0,0
 10-12,27.2,30.79,0,20.26,0,10.2,0,0,755.72,0,215.23,3.1,0,35.82,14.03,0
 14-21,0,0,2.32,0,0.83,0,0,2.3,20.43,0,0,0,0,0.9,0.8,1.75
 24-34,0,0,0,1.5,1.25,0,4.15,4.53,46.87,0,0,0,0,0,0,10.53
 36-46,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,6.55
 72-82,0,0,0,0,0,0,0,1.43,1.19,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.97,0,5.58,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0
120,0,0,0,0,0,0,0,0,2.31,0,0,0,0,0,0,0
