stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,28.41,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.61,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.83,0,0,0,0,8.56,3.37,0,0
 10-12,0,3.13,0,0,0,0,0,0,0,0,12.94,18.26,0,0
 14-21,0,0,0,0,0,0,0,1.16,0,0,1.56,0,1.18,0
 24-34,0,0,0,0,0,0,0,0,0,0,6.93,0,0,0
 36-46,0,0,0,0.62,0,0,0,0,0.83,0,7.05,0,0,0
 48-58,0,0,0,0.61,1.01,0,0,0,0,0,6.91,0,1.14,0
 60-70,0,0,0,2.81,1.19,0,0.8,0,2.31,0,1.81,0,0,0
 72-82,0,0,1.06,0,0,0,1.18,1.68,1.38,0,1.24,0,0,0
 84-94,0,0,0.72,0,0,0,1.95,0,0,8.61,4.75,0,0,0
 96-106,0,0,0,2.72,0,0,4.15,0,1.73,0,6.31,0,0,0
108-118,0,0,0,0,0,0,4.48,0.46,5.19,0,1.95,0,0,0.87
120,0,0,0,0,0,0,1,1.67,0,0,0,0,0,0
