stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.34,39.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,40.13,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,2.08,0,0,7.57,30.52,0,0,1.07,0,0,0,0,2.02,0,0,6.73,48.93,0,0,0,0,0.95
 24-34,0,0,0,32.61,0.89,0.93,0,9.67,0,22.33,0,0,1.02,0,0,0,0,0,0.77,47.01,0,0,48.38,114.48,5.02,0,9.98,0,0,0,0,0,0.63,0,8.38,100.84,0,0,1.2,0,8.9
 36-46,0,0,0,8.63,0,4.35,0,3.44,11.01,11.09,0,0,0,1.56,0,0,0,0,6.95,91.67,0,0,36.47,158.14,5.16,1.39,0.63,0,0,5.61,0,0,0,0,1.99,75.51,0,0,0,0,26.66
 48-58,0,0,0,17.84,0,21.64,1.04,11.43,7.91,20.21,0,2.77,0.37,6.56,0.39,2.84,2.52,0,12.05,204.88,0,2.49,30.21,155.62,0.5,0,0,0,0,0,0,0,0,4.77,0,36.78,0,0,0,0,17.46
 60-70,0,0,0,7.06,0,27.89,3.43,9.63,1.75,9.5,0,0,0,0,0,0,9.8,0,8.52,289.32,0,8.08,11.39,245.48,3.95,0,0.76,0,0,4.78,0,0,0,1.67,0,22.15,0,2.78,3.52,3.94,33.81
 72-82,0,0,0,19.35,2.1,62.11,0.72,2.03,5.69,33.22,0,0,0,2.79,1.02,0,1.27,0,0,548.79,0,11.48,25.6,358.43,0.77,1.27,0.81,0,0.77,12.43,0,0,0,3.94,0,7.19,0,14.89,1.13,6.07,46.62
 84-94,0,0,0,12.49,6.23,33.25,1.34,4.64,2.17,21.45,0.72,0,0,2.42,0,0.74,0,0,14.54,411.08,0.62,5.94,20.1,262.93,2.38,1.78,0,0,0,26.52,0,0,0,0,0,5.46,0,13.96,4.25,16.7,15.67
 96-106,0,0,1.53,26.93,5.76,21.34,0,4.37,0,42.75,0,0,0,1.05,2.37,1.2,3.66,1.8,0.75,459.42,0,3.21,12.35,227.78,0,1.6,2.62,0,0,24.99,2.06,0,1.05,0.57,0,3.67,0,11.46,1.53,21.27,0
108-118,0,0,0,23,0,49.55,0,7.77,0,52.15,0.81,0,0,1.26,1.6,0,1.71,0,5.04,598.31,0,8.28,10.54,219.15,0,0.86,0.42,0,0,17.45,0,0,0,1.64,0,15.54,2.36,13.45,0,45.82,4.5
120,0,0,3.29,36.87,0,35.42,0,12.53,0,62.38,0,0,0,2.88,6.62,0,1.54,0,1.55,575.35,1.46,11.12,24.03,408.37,0,0,14.91,0,0,16.84,0,0,0,6.01,0,35.99,0,0,7.32,77.49,4.96
