stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,62.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.08,0,0,0,3.35,0,0,0,0,0,0,26.73,0,0,9.23,0,0,0,0
 10-12,0,17.33,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,7.99,0,18.36,0,21.69,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47,0,1.55,0,1.56,0.9,0,0
 24-34,0,0,0,0,0.61,0.63,0,1.22,0,0,0,0,0.92,0,0.95,11.89,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,6.26,0,0,0,12.74,0,1.97,0.91
 48-58,0,0,0,0,0.9,0,0,0,0,0,0,0,1.62,0,0,20.76,0,0,0,0,0,2.13,0
 60-70,0,0,0,0,7.22,0,2.25,0,0,0,0,0,1.12,0,0,5.12,0,0,0,7.84,0,0.94,0.71
 72-82,0,0,0,0.65,3.28,0,0,0.59,0,0,0,0.88,1.41,0,0,24.83,0,0,0,5.31,0,1.31,0
 84-94,0,0,0,4.25,4.56,0,0,0,0,2.41,0,0,0,0,0,6.54,0,0,0,1.82,0,0,0
 96-106,0,0,1.54,3.8,13.69,0,0,0,0,0,0.86,0,2.07,0,0,1.73,0,0,0,2.22,0,0,0
108-118,0,0,1.04,0,0.5,0,0,0,0,0,0.5,0,4.93,0,0,3.52,0,0,0,1.41,0,0,0
120,0,0,5.21,0,0,0,0,0,0,0,0,0,0,1.47,0,18.76,5.09,0,0,0,0,0,0
