stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,39.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.53,0,0,0,0,7,0,0,0,0,5.49,0,0,0,0,33.94,0,0,3.98,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.27,0,0,26.52,15.11,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0.96,0.92,26.91,4.68,0,0.84,0,0.93,3.75,0,6.01,15.98,1.01,0
 24-34,0,0,2.87,0,0,5.23,0,0,0.67,0,4.41,3.12,0,8.24,0.8,35.6,0,0,0,0,0,0,0,0.69,16.88,1.83,0
 36-46,0,0,0,0,0,1.18,0,0,0,0,0,0,0,2.07,2.13,10.59,0,0,0,0,0,0,0,0,9.54,0,0
 48-58,0,0,0,0,0,6.34,0,0.6,0.47,0,0,0,0,2.57,1.74,24.7,0.6,0.76,0,0,0,0.38,0.46,0,2.03,1.64,0
 60-70,0,0,0,0,0,19.55,1.72,0,0.58,0,1.77,0,0,0.65,0,15.1,0,0,0,0,0,0.73,0,0,1.84,0,0
 72-82,0,0,0,3.57,0,38.84,0,0,5.92,0.56,0,0,0,0.76,1.14,14.56,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0,0.57,2.09,0,0,0,0,0,0,0,0,2.56,0,0
 96-106,0,0,0,9.18,0,5.3,0,0,4.61,0,0,0,0,2.28,0,9.39,0,0,0,0,0,0,0,0,3.4,0,1.13
108-118,0,0,0,0,1.67,13.52,0,0,9.93,0,0,0,0.6,0,1.71,15.4,0.69,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,7.42,0,0,19.43,0,0,0,1.05,4.67,0,63.84,0,0,0,0,0,0,0,0,0,0,0
