stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.35,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,1.27,53.01,0,1.44,0,0,0.84,1.01,0,0,0.95,0,0,3.26,0,0,0,27.4,0,0,0,0,0,0,0,0.87,7.39,0,0,0
 24-34,0,0,0,1.97,0.66,1.27,0,0,0,0,0,0,0.62,0,0,12.65,0,0,1.81,71.26,0,0,1.36,0,0,0,0,0,15.9,0,5.34,0
 36-46,0,0,0,13.08,0,4.15,1.29,0,4.92,0,0,0,0,0,0,0.83,0,0.86,0,134.65,0,0,0,0,0,0,0,0,23.29,0,1.9,0
 48-58,0,0,0,10.53,0,51.33,0,0,3,0,0,0,0,0,0,1.55,0,0,0,274.58,0,0,0,0,6.04,0,0,0,27.15,0,0.49,0
 60-70,0,0,0,0,0,516,0.96,0,10.38,0,0,0,0,0,0,4.35,0,0,1.61,317.76,0,0,1.84,0,4.36,0,0,0,57.47,1.06,0,0
 72-82,0,0,0,6.12,1.95,989.11,0,0,16,0.61,0,2.95,0,0,0,18.51,0.73,0,2.27,478.87,0,0.86,0,0.84,0.56,0,0,0,18.77,0,0,0
 84-94,0,0,0,4.74,0.82,913.98,9.46,0,10.24,0,0,0,0,0,0,15.23,1.19,4.49,5.56,274.7,0.62,0,3.92,0,1.59,0,1.26,0,26.4,0,0,0
 96-106,0,0,0,4.42,0,898.77,0,2.38,26.3,2.55,0,0,0,0.84,7.05,15.83,0,1.5,1.95,249.24,0,0,0.77,0,4.24,2.06,0,0,15.06,0,0,1.84
108-118,0,0,0,15.68,0.85,634.13,1.58,1.27,8.72,4.54,0.74,0,0,0,0,18.88,0,2.4,0,415.56,0,0,0,2.81,0.91,0,0,0,14.56,0,1.13,2.47
120,0,0,0,8.17,0,398.61,9.38,0,8.99,7.53,15.16,0,0,0,0,9.36,0,0,0,638.36,0,0,0,17.54,7.35,0,0,0,0,2.55,0,5.56
