stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.45,390.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.5,853.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.47,0,0,0,0,0,21.92,0,0,0,0,0,0,0,0,0
  7-9,18.05,25.81,20.34,0,0,72.21,0,0,0,0,21.18,0,0,0,0,0,0,0,0,0,0,0,542.08,17.71,0,0,162.1,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.43,0,0,0,59.8,0,0,0,0,11.42,0,0,0,0,0,0,0,0,0,0,0,348.42,0,0,0,81.43,0,0,0,27.82,0,0,0,0,0,0,0
 14-21,0,0,0,8.46,0,7.9,0,0,2.39,3.07,0,0,0,2.26,0,0,0,0,5.09,0,0,5.47,148.23,0,0,0,2.22,0,4.94,7.6,0,11.59,22.35,0,0,0,0,0
 24-34,0,0,0,3.82,0.69,20.12,0,0,4.31,0.63,0,2.08,0,0,0,0,0,0,11.97,0,0,4.07,200.76,0,4.81,2.32,0,0,1.19,0,0,0.61,52.44,0,0,0,0,2.91
 36-46,0,0,0,0.94,0,49.44,0,0,11.03,0,0,0,0,0,0,0,0,0,7.35,0,0,6.03,318.55,0,0.73,0.65,0,0,1.25,1.63,0,0,66.52,0,0,5.49,0,0
 48-58,0,0,0,2.96,0,70.31,0,0.43,16.1,0,0,0.78,0,0,0,0,0,2.65,9.26,0,0,8.45,365.18,0,3.84,1.43,0,0.45,0,0,0,0,78.61,0,0,1.13,0,0.42
 60-70,0,0,0,1.04,0,93.17,0,8.91,21.38,0,0,0,0,0,0.61,2.79,0,0,24.35,0,0,4.37,335.5,0,3.84,0.86,0,0,4.7,0,3.74,0,48.45,0,0,0,0,0
 72-82,0,0,0,1.72,1.75,73.14,0,0.77,29.18,0,0,0,0.6,0.54,0,0,0,0,33.47,0,0,3.99,251.88,0,3.78,1.36,0,1.08,0,0,0,0,28.53,0,1.33,3.11,0,0
 84-94,0,0,0,5.36,0,59.8,0,1.38,6.38,0.58,0,0,2.42,3.56,0,0,2.4,0,19.63,0,1.05,7.72,230.68,0.61,3.13,0,0,0,4.61,0,0,0,17.9,0,0,4.23,0,0.82
 96-106,0,0,0,5.32,4.14,60.84,0,0,15.85,0,0,0,1.19,0,0.95,1.14,1.8,0.69,28.66,3.3,0,4.09,188.97,0,6.74,1.8,0,0,1.05,0,0.67,0,11.33,2.83,0,4.44,0.56,0
108-118,0,0,0,3.96,0,58.87,1.5,0,43.75,0,0,0,1.29,0,0.52,0.56,0.93,0.91,39.68,0,0,2.24,302.24,0,2.69,3.78,0,0,4.04,0,0,0,13.73,0,0.57,4.68,0.72,1.28
120,0,0,0,6.07,0,59.97,0,0,26.8,0,0,0,0,0,3.6,2.05,0,0,0,1.12,0,1.09,286.98,0,0,5.18,0,0,1.78,0,1.56,0,4.78,0,1.32,1.67,9.85,2.34
