stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,10.66,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.74,14.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.19,0,3.32,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,29.1,0,0,0,3.52,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,7.43,0,0,0,0
 14-21,0,0,0,0,5.26,2.13,1.69,0,0,3.34,0,0,0,0,0,1.78,0,0,1.9,37.66,0,0,0,0,27.01,2.08,8.93,0.95
 24-34,0,0,0.6,0.68,0,0,5.69,0,0,0,0,0,0,0,0,3.89,0,0,0,40.86,0,0,1.48,0,13.77,0,19.27,0
 36-46,0,0,0,0,1.88,0,3.66,0,0,4.66,0.56,0,0,0,0,7.86,0,0.67,0,50.95,0,0.66,0,0,94.64,0,24.05,1.72
 48-58,0,0,0,0,1.74,0,13.07,0,0,0.71,0,0,0,0,0,1.17,0,0,0,43.21,0,0,0,0,15.58,0,13.03,0.61
 60-70,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0,0.97,0,0,0,34.15,0,2.3,0,0,36.94,0,4.81,0
 72-82,0,0,0,0,1.58,0,34.98,0,1.07,4.69,0,0,0,0,0,0,0,0,0,132.61,0,0.6,1.12,0,30.38,0,27.55,0
 84-94,0,0,0,0,1.81,0,49.92,0,0,0,0,0,0,2.41,4.97,1.7,0,0,0,50.85,0,0,0,0,15.35,0,3.39,0
 96-106,0,0,1.19,0,2.98,0,12.5,0,0,3.49,0.95,0,0.58,0,0,1.79,0,0,0,86.61,0,0,0,0,46.77,0,12.49,0
108-118,0,0,0,0,4.56,0,48.42,1.33,0,3.21,0,0,0.92,0,1.97,4.97,5.57,0,0,61.5,4.5,0,0,0,45.04,0,11.31,0
120,0,0,0,0,8.2,0,14.92,0,0,0,1.91,0,0,0,5.95,6.88,0,0,0,42.22,0,0,1.66,0,14.38,0,0,0
