stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.04,13.02,0,0,2.64,0,0,0,1.93,0,0,0,0,0,0,0,3.33,0,0,0,15.78,0,1.19,0.9,0,0,1.09,0,0,7.4,0,0,0
 24-34,0.6,0,0,0,0,131.79,0,0,0,0.67,0,0,0.93,0,0,0,0,5.89,0,0,0,10.31,0,0,0.67,0,0,0,0,0,4,0,0,0
 36-46,0,0,0,0,0,345.3,0,0,0,0,0,0,0,0,0.57,0,0,31.42,0,0,0,35.16,0,0,0.89,0,0,0,0,0,25.34,0,0,0
 48-58,0,0,0.55,0,0,666.97,0,0.57,8.63,0,0,0,0,0,0,0,0,40.19,0,0,0.4,80.7,0,0,0,0,0.57,0,0,1.63,5.98,0,0,0
 60-70,0,0,0,0,0,1315.89,2.46,0,8.44,0,1.47,0,0,0,0,0,1.05,110.24,0,0,0,117.05,0,0,10.32,0,7.4,0,0,0,6.74,0.79,0,0
 72-82,0,0,0,0,0,1046.24,0,5.68,4.84,2.03,0,0,0,0,1.17,0,0,110.29,0,0.49,0,118.43,0,1.59,5.97,0,2.35,0,0,0,0,0.83,0,0
 84-94,0,0,3.33,11.76,0,2830.46,0,4.33,6.28,0.91,0,1.08,0,1.31,0,0,0,66.13,0,1.7,1.16,90.11,0.6,0,4.17,0,24.08,0,1.46,0,8.66,0,0.6,0
 96-106,0,0,8.55,19.25,0,2163.05,0.66,2.27,15.08,1.69,0,1.78,0.87,0,4.46,0,0,125.23,0,0,0,108.04,0,1.18,12.33,0,0,0,0,0,0.99,5.55,0,0
108-118,0,0,3.29,0,4.61,2131.95,0,2.77,12.83,0.75,0,0.43,0.77,0,2.7,5.88,1.22,116.47,0.43,0,1.78,106.97,0,2.34,8.5,3.15,1.54,0,0,0,9.34,2.01,0,1.03
120,0,0,17.1,0,0,532.05,1.03,0,10.59,0,0,1.38,0,0,0,0,0,370.3,0,0,0,45.59,6.26,0,25.95,0,0,0,0,0,0,4.78,0,0
