stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,20.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,7.69,0,0,4.32,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,0,0,0,1.16,0,0,0,0,1.26,0,0,0,0,0,0,10.45,8.51,0,0,0,0,0,0,173.13,147.82,6.87,0,0
 24-34,0,0.6,6.95,0,3.85,33.89,0,0,1.52,0,0,6.15,0,0,0,0,0,0,79.38,97.84,0,0,0,0,0.89,0,113.81,153.47,9.25,0,3.06
 36-46,0,0,1.01,0,1.6,88.88,1.24,0,1.95,0,0,1.51,0,0,0,0,3.92,0,25.68,38.73,0.73,0,0,0,3.25,0,72.73,12,6.74,0,0.96
 48-58,0,0,0,0,11.92,61.13,0,0,4.38,5.67,0,0.67,0,0,0,0,1.68,0,11.31,50.62,0,0,0,0,0,0,53.47,0,5.79,0,0
 60-70,0,0,6.11,0,5.69,55.87,0,0,0.93,0,0,0.78,0,0,0,0,3.53,0,31.91,15.8,0,0,0,0,0,0,29.57,0,15.13,0,0
 72-82,0,0,0.68,0,11.05,69.05,0,0,0.93,0,0,0,0,0,0,0,6.47,0,15.46,25.24,0,0,0,0,0,0,18.87,0,10.29,0,0
 84-94,0,0,5.98,0,13.81,64.09,0,0,1.58,0,0,0,0,0,0,0,5.57,0.98,16.22,15.65,0,0,0,0,3.06,0,51.43,0,0,0,0
 96-106,0,0,3.5,0,30.48,80.22,0,0,15.85,0,0,0,0,0.81,3.6,4.34,5.74,1.66,17.73,37.06,0,2.06,0,0,5.6,0,42.05,0,7.15,1.23,4.53
108-118,0,0,2.3,0.55,20.73,77.49,0,0.77,0.73,0,0,0,0.69,0,0,0,7.09,1.41,48.24,54.53,0,0,0,0,3.19,0,53.27,0,0,0,1.67
120,0,0,1.08,0,8.79,138.94,0,0,12.65,0,0,0,0,0,0,0,13.71,0,38.48,41.6,0,0,0,29.03,0,1.12,14.92,0,0,0,2.75
