stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,45.08,0,0,0,0,0,0,0,0,0,0,0,50.85,0,0,0
  5-6,22.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,23.47,0,0,0,0,0,0,0
 10-12,7.32,0,0,10.84,0,0,0,0,122.64,3.71,0,29.45,0,7.02,0,0
 14-21,0,0,0,2.52,0,0.81,0,0,6.42,0,0,0,0,0,2.01,1.67
 24-34,0,0,0,0.61,0,1.17,0,0,1.31,0,0,0,0,0,0,0.73
 36-46,0,0,0,0,0,0,0,0.58,0,0,0,0,12.48,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,7.49,0,0,0
 96-106,0,0,0,0,1.09,0.91,1.1,0,0,0,0,0,5.28,0,0,0
108-118,0,0,1.5,0.7,0,0,0,0,0.74,0,0,0,3.91,0,0,0
120,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
