stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,26.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,39.85,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,0,0,0,0,0,0
  7-9,12.23,0,0,0,5.06,0,0,0,0,0,0,0,156.86,4.69,0,0,22.94,0,0,0,0,0
 10-12,0,5.14,15.79,0,19.92,0,0,0,0,0,0,0,75.59,0,0,0,5.95,0,0,0,0,0
 14-21,0,0,0,0,1.4,2.16,0,0,0,2.02,0,0,21.46,0,0,1.04,0,0,0,4.8,0,0
 24-34,0,0,0,2.47,7.48,1.43,0,0,0,0,0.87,0,131.34,0,0.86,2.74,0,2.06,0.63,18.41,0,0
 36-46,0,0,0,0,10.2,3.31,0,0.69,0,0,3.13,0,285.94,0,1.25,0,0,0,0,35.41,0,0
 48-58,0,0,0,11.08,39.11,12.47,0,0,0,0,5.14,0.63,392.29,0,0,0,0,0,0,46.01,0,0
 60-70,0,0,0,0.78,46.93,12.23,0,0,0,0,0,0,331.75,0,0,0,0,0,0,62.71,0,0
 72-82,0,0,0,0.59,21.1,2.17,0,0,0,0,0.78,0,159.1,0,0,0,0,0,0,24.15,0,0.5
 84-94,0,0,0,0,21.1,1.61,0,0,0,0,6.87,0,135.74,0,0,0,0,0,0,9.82,0.62,0
 96-106,0,0,0,0.71,9.25,2.08,0,0,0,0,0,0,60.8,0,0,0,0,0,0,5.27,0,0
108-118,0,0,0,0,22.79,1.35,0,0,0.7,0,0.49,0,98.53,0,0,0,0,0,0,5.72,0,0
120,0,0,0,0,48.16,3.63,6.22,0,0,0,8.32,0,117.21,0,0,0,0,0,0,7.58,0,0
