stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.85,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.99,0,0,1.05,0,0,0,0,3.61,0,0,0,7.97,0,0,1.64,15.85,0,0,0,0,0,0,3.17,0,0,0,0,0
 36-46,0,0,0,0,0,2.44,0,0,0,0.56,1.77,0,0,0,0,0,1.6,0,28.75,0,0,0,0,2.27,0,2.35,0,0,1.09,0,0
 48-58,0,0.46,0,0,0,8.24,0,0,0.42,0,0,0,0,0,15.85,0,3.01,1.25,50.02,0,0,0,0,0,0,2.51,0,0,0.42,0,0
 60-70,0,0,0,0.94,0,15.03,0,0,0.96,2.29,0,0.69,0,0,148.64,0,7.26,0,40.78,0,0,17.31,0,0,0,1.61,0,0,0,0,0
 72-82,0,0,0,0,0,36.64,0,0,0.53,8.53,0,3.93,0,0,412.65,0,17.29,0.64,80.04,0,2.56,22.45,0,0.96,0,1.43,0,0,3.14,1.64,0
 84-94,0,0,1.71,14.39,0,45.16,2.11,0,6.56,10.77,0,1,0,0.68,1166.15,2.3,8.01,0,19.7,0,0,0,0,1.46,0,0,2.36,0,1.18,3.31,2.83
 96-106,0,0,27.9,31.1,36.84,49.37,2.75,1.73,10.87,9.96,0,0.83,3.12,1.03,1529.7,0.62,24.05,3.52,122.07,0.73,0.66,1.16,0.79,13.1,0.57,2.14,0,2.45,0.99,1.31,3.15
108-118,0,0,15.87,8.32,7.77,15.57,0.54,4.12,8.94,9.69,0,0,2.75,0,2032.23,3.11,25.44,0.76,92.73,0.54,0,3.66,0,6.6,0,0,1.33,0,0.76,3.12,9.27
120,0,0,12.71,4.75,0,47.31,0,0,16.18,11.57,0,12.21,3.52,0,1417.39,3.42,18.4,0,70.26,0,0,0,0,9.43,0,3.72,0,0,0,1.43,0
