stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,spinal_cord,vasculature
  3-4,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,17.81,0,0
 14-21,0,0,28.53,0,0.92,5.78,2.91,0,0,7.79,0.93,0,0,18.87
 24-34,0,0.61,1.41,0,0,1.39,7.22,0,0,0.83,0,0,0.87,93.28
 36-46,0,0,0,0,0,0.58,0,0,1.68,0,1.62,0,0,8.07
 48-58,0,0,0,0,0,5.84,0,0,1.21,0.95,0,0,0,10.48
 60-70,0,1.97,0,0,0,7.69,0,0,0,0,0,0,0,8.02
 72-82,0,0,3,2.27,0,10.03,0,0,1.31,0,0,0,0,1.82
 84-94,0,0,0.79,1.51,0,11.76,0,0,0,0,0,0,0,7.42
 96-106,0,0,1.34,0,0,22.42,0,0,0,1.41,0,0,0,5.58
108-118,0,0,0,0,0.54,41.83,0,0,0,4.91,0,0,0,9.73
120,0,0,1.16,0,0,74.87,0,2.64,0,0,0,0,0,9.2
