stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,13.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.75,9.27,11.42,0,0,0,0,0,13.27,0,0,0,0,14.59,0,0,10.54,0,0,0,0,0
 10-12,0,0,4.73,0,7.8,0,0,0,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0
 14-21,0,0,1.44,1.87,0.81,7.04,0,0,0,0,0,1.2,0,36.91,0,2.36,0,3.08,0.91,3.45,3.46,0
 24-34,0,0,0,0,0,3.95,0,0,0,0,0,0,0,29.53,1.63,1.16,0,0.61,0,0,6.5,0
 36-46,0,0,0,3.41,0,1.91,0,0,0,0,0,1.31,0,21.61,0,4.34,0,4.64,0,0,7.49,1.67
 48-58,0,0,0,0.41,0,14.96,0,2.56,0,0,0,8.69,1.17,27.35,0,0,0,0,0,0,5.28,1.45
 60-70,0,0,0,6.21,0,9.71,0,0.8,0,9.93,0,3.45,1.84,19.86,0,5.34,0,0,0,0,4.63,0
 72-82,0,0,0,0,0,3.79,0,4.32,0,0,0,11.43,0.99,6.71,0,0.76,0,0,0,0,1.26,0
 84-94,0,0,0,3.11,0,1.61,0.68,0.6,0,0,0,5.18,0.68,4.77,0,0.64,0,0,0,0,0,1.89
 96-106,0,0,0,0.83,0,2.58,0,0,0,0,1.11,1.13,1.84,9.22,0,0,0,0,0,0,0,0
108-118,0,0,0,0.47,0,5.12,0,3.17,0,0,0,4.8,0.78,5.15,0,0,0,1.23,0,0,0,0.42
120,0,0,0,2.32,0,4.3,0,10.53,0,0,0,8.33,0,9.67,0,0,0,0,0,0,0,3.92
