stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,55.19,0,6.73,0,0,0,0.94,0,1.66,0,0,0,0,13.25,0,0,4.84,30.19,0,0,0,0,0,0,0.81,1.62,1.83,29.25,0,10.21,0
 24-34,0,148.43,2.17,11.31,0,2.25,0,0.77,0,0,0,0,0,0,24.23,0.65,0,19.95,39.03,0,0.94,0.66,0,0,0,0,0,0,11.18,0,22.58,0
 36-46,0,71.67,0,7.68,0,2.6,0,0.65,0,0,0,0,0,0,48.62,0.56,0,20.06,38.68,0,0,0,0,0,0,0,0,0,8.51,0,6.88,0
 48-58,0,83.2,0,68.9,0,1.48,2.03,3.4,0,0,0,0,0,0,24.68,0.44,0.39,5.91,45.88,0,0.94,0,0,0.46,0,0,0,0,9.88,0,3.29,0
 60-70,0,53.97,0,452.26,0,0.8,0.84,13.67,0.65,0,0,0,0,0,8.43,0,0,0,47.17,0,0,0,0,0,0,0,0,0,0.62,0,11.27,0
 72-82,0,30.24,4.13,1016.16,0,1.64,1.41,22.38,0,0,0,0,0,0,23.5,0.5,0.93,2.3,42.48,0,2.24,1.44,0,2.34,0.56,0,0,0,2.67,0,10.82,6.21
 84-94,0,62.25,0,1099.88,0,3.35,1.25,15.6,0,0,1.11,0,0.7,0,27.15,0,5.13,0,50.85,0.62,0,4.54,0,0.61,0,0,0,0,2.41,0,34.25,0
 96-106,0,72.77,4.37,1638.54,1.53,1.93,0,29.14,0,1.52,0,0,0,0,7.97,0,0,0,25.98,0,1.61,2.12,1.77,1.29,0,0,0,0,1.99,0,8.47,0
108-118,0,67.37,5.15,1207.21,0,2.29,2.47,29.78,0.58,0,1.67,1.11,0,1.1,29.82,0,1.96,1.52,78.44,0.41,0.7,5.35,0,0,0,0,0,0,2.05,0,30.99,1.17
120,0,43.6,4.02,1145.39,0,0,0,33.28,0,0,4.9,0,0,0,15.5,0,0,1.88,31.6,0,0,2.34,0,0,0,0,0,0,0,2.09,73.89,0
