stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0
 36-46,0,0,27.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,53.19,0,0,0,0,0,0,0,0,0,0,8.09,0,0,0.94,0,0,0
 60-70,0,0,238.68,0,1.74,0,0,0,0,0,0,0,0,6.13,0,0,0.96,0,0,0
 72-82,0,0,348.21,2.22,1,0,0,0,0,0.57,0,4.26,0,11.8,0,0,0,0.8,0,0
 84-94,0,0,442.93,0,0,3.03,0,0,0,1.95,0,5.3,0,13.77,0,0,1.03,0,0,0
 96-106,0,6.89,459.6,0,3.8,0,0,0,0,0,7.3,8.32,0.93,8.15,0,0,0,0,0.74,0
108-118,0.89,0,426.72,0,0.56,0,0,0.83,0.43,0,0,4.23,0,9.44,0,0,0,0.44,0,7.49
120,4.47,0,393.09,0,0,0,0,0,0,1.07,0,0,0,17.69,0,1.02,0,0,0,0
