stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,3.33,0,0,4.44,0,0,0,0,0,0,14.67,0,0,0,0,0,0,0,0,7.62,0.81,0,0,0,0,0,0,2.4,0,0,0,0
 24-34,5.91,0,0,6.77,0,0,0,0,0.92,2.38,36.01,1.18,0,0,0.78,17.84,0,0,1.98,97.79,0,0,1.9,1.14,0,0,1.89,20.53,0,2.48,0,0
 36-46,2.64,0,0,6.3,0,2.39,0,0.66,0,11.35,40.86,0,0,1.17,0,21.7,0.77,0,0.83,41.53,0,0,0,0,0,0,0,12.27,0,0.93,0,0
 48-58,1.17,0,0,1.03,0,0,0,1.81,0,1.44,108.82,0,0,0,0,13.93,0,0,0,40.87,6.05,0,0,0,2.81,0,0,3.24,0,0,0,0
 60-70,0,0,0,10.77,0,2.79,0.87,1.66,1.45,0,183.21,0,0,0,0,11.61,0,0.7,0,78.8,0,0,0,0,1.3,0,0,3.02,1.65,1.05,0,0
 72-82,1.07,0,0,15.45,0,0,0,3.69,0,1.41,245.94,0,0,0,0,17.03,0,0,1.06,73.68,0,0,0.69,0,1.68,0,0,1.3,1.32,0.6,0,0
 84-94,1.66,0.74,0,24.67,0,2.82,0,2.76,0,3.42,392.97,0.56,0,0,0,2.17,2.01,5.83,0,88.95,0,0,0,0,0,0.67,0,0,3.26,0,1.95,0
 96-106,5.24,9.78,0,28.72,0,6.44,0,0.78,0,0,464.42,2.26,0,0,0,18.87,0,0,0,74.95,0,0.58,1.19,0.99,2.08,1.33,0,0,0,1.46,0,0
108-118,6.59,2.02,4.15,38.51,0.58,1.32,0,3.09,0,0,453.42,0.6,1.56,0,0,15.62,0,0,0,65.51,0,1.21,0,0,0.89,0.72,0,0,1.32,0.48,0,1.26
120,6.78,1.63,0,21.25,0,0,0,11.94,0,0,520.63,5.29,0,0,0,8.06,0,8.42,0,44.84,0,3.05,0,0,0,0,0,0,0,0,1.8,0
