stage,eye,glial,iridophores,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,spinal.cord,vasculature,visceral.smooth.muscle
 10-12,3.74,0,0,0,0,0,0,0,10.89,0,0,0,0
 14-21,0,0,0,0,0,0,1.04,0,0,0,1.16,0,0
 24-34,0.67,0,0,0,0,2.29,7.28,0,0,0,0.72,1.81,0
 36-46,2.99,0,0,0,0.67,0.87,1.57,0.61,0,0,1.37,0,0
 48-58,3.84,0,0,0,0,0,4.65,0.82,0,0,1.79,0,0
 60-70,4.07,0,0,0,0.76,0,9.16,0,0,0,1.9,0,0
 72-82,1.74,0.67,0,0,0,0,0,0,0,0,0,0,0.71
 84-94,7.12,3.73,0.7,0,1.27,0,7,0,0,0.91,0,0,0
 96-106,5.53,0,0,1.84,0,0.93,1.8,0,0,0,0,1.06,0
108-118,3.35,0,0,0.55,0,0,9.2,0,0,0,0,0,0
120,4.3,0,0,0,0,0,2.52,0,0,0,0,0,0
