stage,eye,mesenchyme,neural,notochord,paraxial_mesoderm,pronephros
  5-6,0,0,6.4,0,0,0
  7-9,0,0,0,0,3.88,0
 14-21,0.8,0,0,0,0,0
 36-46,0,0,0,10.66,0,0
 48-58,0,0.53,0,0,0,0
 72-82,0,0.58,1.75,0,0,0.57
 84-94,0,0,0,0,0,1.88
 96-106,0,0,0,0,0,5.09
108-118,0,0,0,0,0,4.24
120,0,0,0,0,0,3.11
