stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,pgc,pronephros
  3-4,40.6,696.01,0,0,0,0,0,0,22.02,0,0
  5-6,21.17,1023.88,0,0,0,28.6,10.72,0,6.6,0,0
  7-9,28.55,23.44,20.45,14.6,11.27,587.72,0,201.43,0,5.26,0
 10-12,0,34.44,28.16,28.09,0,431.65,11.72,80.17,0,10.13,19.93
