stage,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,1.02,0,0,0,0.9,0,3.23,0.98,0,1.31,1.57,0
 24-34,0,0,0,0,0,0,0,0,0,0.88,0,3.68,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.65,0,0.78,0,1.24
 48-58,0,0,0.74,0,0,0,0,0,0,0,0,4.07,0,0.65
 60-70,0,0,2.59,0,0,0,0,0,0,3.27,0,12.94,0,0
 72-82,0,3.24,1.83,0,0,0,0,0,0,10,0,5.5,0,0
 84-94,0,0,1.71,0,0,0,0,0,0,1.88,0,16.59,0,0
 96-106,0.75,0,8.99,1.4,0,0.69,0.63,0.63,0,0,0,38.66,0,0
108-118,0,0,0,0,0.55,0.67,0,0,2.99,0,0,16.18,0,0
120,0,0,0,0,0,0,1.25,0,5.55,2.47,1.61,34.05,0,0
