stage,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,127.23,0,0,0,0,0,2,0,0,0,37.4,0,2.29,0,174.99,3.04,309.36,0
 24-34,0,0.64,0,0,0,104.82,0,0,0.62,0,0,7.8,0,0,6.82,73.51,0,0,2.94,86.59,1.77,210.91,0.84
 36-46,0,0,0,0,0,46.99,0,0,0,0,0,0,0,0,0,11.37,4.64,0,0,27.14,0,137.02,0
 48-58,0,0,0,4,0,40.64,0,0,0,0,0,2.44,0,0,0,16.63,2.76,0,2.91,10.85,0,84.12,0
 60-70,0,0,0,2.1,1.21,38.75,0,0.95,0,0,0,0,0,0,0,13.8,6.36,0.95,3.05,1.74,0,37.27,0
 72-82,0,4.09,1.22,0,0,14.94,0,0,0,0,0,0,0,0,0,5.81,6.62,1.16,5.77,3.57,0,24.88,0
 84-94,1.01,0,0,2.46,0,14.22,0,0,0,0.9,0,0,0,0.57,0,2.18,11.09,3.53,16.79,6.87,0,43.38,1.12
 96-106,0,3.01,0,0,0.62,17.88,5.46,1.41,1.76,0,0.58,3.55,1.11,0,0,9.92,11.35,4.84,12.53,2.99,0,34.46,0
108-118,0.42,4.49,0,4.82,0,8.55,0,0,0,0,0,1.71,0.59,0,0,7.16,9.94,1.21,30.96,4.14,0,26.98,0
120,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0,13.42,0,12.77,4.18,6.92,0,15.89,0
