stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.31,0,0,0,0,5.89,0.81,0.8,0,0,0,0
 24-34,0,1.07,0,0,1.12,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,14.57,0,0,0,0,0,0,0,24.68,0,0,0,0
 36-46,0,0,0,0,29.15,0,0,0,1.43,0,0,0,0,0,0,5.33,0,0,0,80.55,0,0,0,0,0,0,0,109.7,0,0,0,0
 48-58,0,0,0,0,79.73,0,0,0,1.44,0,0,0,0,1.69,0,2.09,0,0,0,177.42,0,0,1.63,0,0,0,0,74.61,0,0,0,0
 60-70,0,1.73,0,0,851.02,0,3.05,0,0.67,0,0,0,0,7.61,0,8.58,0,0,0,199.42,0,0.96,7.37,0,0,0,0,22.93,0,0,0,0
 72-82,0,13.58,0,0,2431.73,0,0,1.83,30.45,1.23,0,0,0,4.52,0.96,4.39,0,0,0.57,518.38,1.8,0.92,0,0,0,0,0,45.8,0,0,0.9,0
 84-94,0,10.97,0,0,1673.23,8.84,0.74,0,46.46,0,0,0,1.39,10.27,0,9.31,0,0,1.68,323.51,0,0,1.69,3.12,0,0,0,43.32,0,0,0.82,0
 96-106,0,10.78,0,1.93,1957.74,0,0.6,4.95,20.59,0,0.95,0,0,11.13,0,20.15,2.26,1.76,0.87,397.8,0,0,7.28,0,0,0,0,9.41,1.85,0.64,0.96,0
108-118,0,4.58,1.46,0,1591.5,0,0,1.55,44.33,0,0,0.85,3.01,21.88,2.85,19.12,0,5.54,0,376.41,0.68,0,18.44,1.03,0,0,0,17.58,1.27,0,0,4.67
120,0,5.01,6.4,0,826.99,0,0,6.64,67.12,1.38,2.72,0,0,31.39,0,35.92,0,0,2.35,700.4,0,4.24,13.66,0,1.26,0,0,8.69,0,0,0,0
