stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,glial,gut,heart,iridophores,lateral_line,mesenchyme,mucous,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,35.39,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,8.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,5.25,0,0,0,0,0,0,0,0,0,63.87,0,0,5.76,0,0,0,0,0,0
 14-21,0,0,0,0,3.18,0,0,52.37,0,0,0,0,2.96,0,0,22.76,0,2.82,0,0,28.6,0,0.81,138.79,0
 24-34,0,0,0,0,12.7,1.05,0,38.54,0,0,0,0,0,0,0,25.3,9.76,0,0,0,20.71,0,1.61,87.1,0.77
 36-46,0,0,0,0,8.63,0,0,24.27,0,0,0,0,0.61,0,0,23.05,9.05,2.26,0,1.2,9.72,0,0,62.91,0
 48-58,0,0,0,0,0.4,5.16,0,28.05,0,0.39,0,0,1.57,0,0.46,19.68,8.02,8.51,0,2.09,17.67,0,0,30.57,0
 60-70,0,0,0,0,5.31,1.58,0,29.32,0,0,0,2.71,6.67,0,0,24.36,28.67,1.34,0,1.2,11.87,0,0,37.44,0
 72-82,0,0,0,0,0,7.56,0,42.19,0,0,0.49,3.16,0,0,0,4.48,28.59,9.62,0,0,1.56,0,0,11.53,0
 84-94,0,0,1.2,1.01,2.35,2.23,0,33.62,0,0,0,4.52,0,0.76,0,19.86,23.05,3.86,0,0,4.23,0,0,30.85,0
 96-106,0,0,0,0,0,5.52,0.57,26.99,1.42,0,0,5.34,1.72,0,0,2.85,12.22,3.3,0,0.8,1.82,0,0,18.15,0
108-118,0,0,0,0,0,3.71,1.47,27.66,0.95,0,3.02,2.73,2.26,0,0,1.65,19.55,9.84,0,0.57,0,0.66,0,9.17,0
120,0,0,0,3.17,0,0,0,5.5,0,0,0,0,4.44,0,0,22.34,21.16,1.29,0,0,7.67,0,0,10.17,0
