stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.13,607.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.73,0,0,0,0,0,0,0,0,0,0
  5-6,62.54,1163.08,0,9.08,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,0,74.51,0,0,0,11.07,0,7.13,0,0,0,0,0,0,0,0,0,0
  7-9,72,34.26,0,56.8,0,0,0,140.51,0,0,0,0,0,58.15,0,0,0,0,0,0,0,0,0,0,0,1038.93,39.53,0,0,377.83,0,12.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.84,0,76.92,0,0,0,45.39,0,0,0,0,0,22.9,0,0,0,0,0,0,0,0,0,0,0,1094.35,79.8,0,0,377.6,0,3.07,3.78,7.13,53.34,0,9.81,0,0,0,0,0
 14-21,0,0,1.38,2.25,6.5,0.85,0,4.75,0,0,0,1.15,1.95,0,0,0,0,0,0,0,0,8.11,0,0,2.74,55.29,2.15,0,0,0.82,0,2.36,0,7.24,0.89,4.61,24.57,0,0,0,0,0
 24-34,0,0,0.67,0,7.84,0,0,14.17,0,1.34,0,2.41,1.08,0,2.16,0,0.71,0,1.28,0.66,0,21.75,0,0,8.76,222.28,1.43,2.79,0.68,0,0,11.49,0,0,0,1.57,58.12,0,0,4.84,0,0
 36-46,0,0,0,0,2.42,0,0,30.96,0,0,0,6.67,0.72,0,0,0,0.58,0,0,0,8.94,28.11,0,0,12.18,359.93,0.58,2.29,1.47,0,0,13.49,0,0,0,0,83.95,0,0,0,0,10.67
 48-58,0,0,0,0,0,0.41,0,98.61,1,0,0.6,22.37,0,0,0,0,0,0.82,1.05,0,6.84,23.58,0.57,0,1.08,322.79,0,2.47,0.62,0,0.56,15.51,0,0,0,0,68.64,0,0.89,0.44,0,3.36
 60-70,0,0,0,0,1.73,9.64,0,184.62,0.66,0.82,0,11.51,0.99,0,0,10.15,4.4,0.89,0.63,0,0,29.69,1.76,0,4.87,343.51,1.76,0.7,0,0,0.71,13.84,0,0,6,0,55.27,0,0,0,0,0
 72-82,0,0,0,0,2.96,6.32,0,132.85,0,0.5,0,15.35,0,0,0.7,0,0,2.68,0.71,0,0,33.17,0,0,0,274.69,0,2.51,0,0,2.36,8.55,0,0,1.77,0,33.51,1.16,2.5,9.93,0,0
 84-94,0.62,0,0,1,3.65,15.97,0,111.25,0,0,2.61,7.9,6.4,0,0,0,0.73,0,0.86,0,0,28.7,0,0,1.33,146.31,0,2.17,0.89,0,0,10.03,1.4,0,0.8,0,43.87,0,0.57,8.91,3.89,3.8
 96-106,0,0,0,0,5.62,6.76,0,112.09,0,0,0,12.97,1.92,0,1.98,0.56,2.77,0,0,0,0,33.91,1.22,1.72,5.43,123.48,0.79,0,1,0,1.67,22.71,0,0,0,0,4.5,3.44,0,0,0,0
108-118,0,0,0,0,6.16,4.16,0,98.68,0,1.91,3.36,11.66,4.03,0,0,1.06,1.23,2.59,0.6,0,0.54,32.27,2.25,1.58,2.98,198.73,0,3.72,3.38,0,0,22.92,0,0,0.55,0,17.2,0,2.65,2.02,2.55,0
120,0,0,0,0,29.64,1.68,1.17,45.22,2.51,0,0,18.52,3.55,0,0,4.19,0,0,0,0,0,30.58,0,0,2.86,307.37,2.7,7.6,3.45,0,0,12.77,0,0,0,0,5.59,0,0,0,3.69,0
