stage,axial,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,13.13,0,0,0,0
  7-9,4.28,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,8.42,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,19.03,18.03,0,0,0,0
 14-21,0,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,1.39,1.1,10.69,0,0,0
 24-34,0,0.6,0,0,0,0,0,0,0,0,0,0.59,0,0,1.95,15.66,0,0,30.14,0.76,0,0
 36-46,0,6.61,0,1.41,0.67,1.53,0,0,0,0,0,0,0.57,0,2.08,4.89,0,0,42.37,4.61,0,0
 48-58,0,14.73,0,2.76,0,6.06,2.61,0.95,0,0,0,0,1.52,1.96,0,14.76,0.5,0,62.28,3.05,0.54,2.3
 60-70,0,1.27,0,0.81,0,0,0,0,0,0,0,0.73,0,0,2.82,7.46,0,0,53.44,0,0,0
 72-82,0,1.74,0,1.12,0,1.57,0,0,0,0,0,0.72,6.06,0,0.7,15.33,0,0,82.74,0,0,0
 84-94,0,5.33,3.44,0,0,0,0,0,0,0,0,0,2.31,0,0,1.56,0,0,84.21,0,0,0
 96-106,0,17.27,2.85,2.19,0,3.27,0,0,2.04,0,0,2.8,2.06,0.77,2.78,23.99,0,0,291.83,0,0,0
108-118,0,0.58,0,7.43,0,3.37,0,0,0,0,0.56,2.1,6.01,3.53,0,9.46,0,0,114.39,0,0,0
120,0,12.68,0,0,0,3.78,0,0,0,0,0,1.35,36.69,1.02,1.2,7.03,0,0,152.75,16.47,0,0
