stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.49,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0,0,0,0,0,0,0,0
  5-6,0,115.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.48,5.84,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.23,6.18,0,0,44.32,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,24.97,0,42.19,0,0,0,29.21,0,0,0,0,0,56.82,0,0,0,0,0,0,0,0,0,0,0,2021.79,11.94,0,0,83.56,0,16.63,0,19.55,0,0,77.22,0,0,0,0
 14-21,0,0,1.11,17.14,4255.87,6.5,0,66.13,0,149.78,0,180.64,86.93,1.44,0.92,0,1.89,6.7,3.17,0,3.32,85.12,18.84,0,41.62,3132.01,51.34,263.47,89.55,33.55,0,1162.97,48.35,11.02,8.12,42.11,3411.89,0,4.31,0,3.62
 24-34,0,0,0,0.6,650.43,0.76,0,34.13,0,349.19,13.61,174.17,13.58,0,2.96,0,8.72,0,3.77,4.01,1.19,27.74,18.89,0,11.52,3764.66,1.77,687.6,6.62,0,0,231.22,0,0,8.94,10.18,2404.69,0,5.85,0,1.5
 36-46,0,0,0,0.67,178.41,0,0,31.25,0.76,235.59,39.59,173.42,18.93,0,0,0,0,0,0.76,1.44,0.66,38.28,3.07,1.69,13.03,3262.49,2.08,281.62,4.94,0,0,268.22,0,0,0,0,1349.8,0,4.93,0,2.23
 48-58,0,0,0,0,54.76,0,0,41.93,0.42,215.65,50.7,257.11,3.97,1.04,0,0.47,0.87,0,0,0,1.95,26.11,0,2.26,6.21,1522.67,0,121.95,0.41,0,0,193.22,0,0,0.39,0,967.78,0,0.54,0,8.46
 60-70,0,0,0,0,41.33,0,0,30.21,0,218.04,44.68,232.19,5.17,0,0,0,0,0,0,0,2.79,12.49,4.64,0,1.72,805.56,0.62,107.7,0,0,0,388.16,0,0,0,0,456.61,0,0,0,4.39
 72-82,0,0,0,0,19.21,4.82,0,70.05,0,181.83,70.09,235.57,5.7,0,0,4.54,0,0,0,0,0,8.62,3.02,0,2.95,608.76,0,137.49,1.98,8.02,0,450.49,0,0,0,0,122.77,0,1.24,1.99,0
 84-94,0,0,0,0,66.96,7.2,0,37.72,0,420.51,51.46,193.71,20.86,0,0,0,1.42,1.26,0,1.05,0,16.09,0.88,4.82,1.85,377.03,0.99,352.26,6.24,0,0,788.49,0,1.07,0,0,143.18,1.11,0,0,0
 96-106,0,0,0,0,91.68,6.25,1.23,70.89,0,426.14,25.09,207.34,18.63,0,0,0,2.59,0,0,13.81,0,17.77,14.43,0,3.28,398.56,0,501.95,7,0,1.44,1135.44,0,0.71,0.72,0,45.3,0.57,9.5,2.44,0
108-118,0,0,0,0,77.39,11.13,0,48.63,0.44,644.22,57.62,199.01,36.05,0,0,0,7.5,1.26,0.49,0,1.73,16.48,20.24,3.26,1.29,578.89,0.43,336.95,9.16,0,1.23,1063.71,0,2.1,0,0,10.89,0,1.47,0.91,0
120,0,0,0,0,70.89,17.24,0,7.82,0,407.69,39.82,136.36,11.8,0,0,0,3.6,0,0,0,0,8.49,3.93,0,22.27,582.96,0,162.98,0,0,0,544.79,0,0,0,0,10.98,1.27,0,0,0
