stage,eye,fin.epithelia,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,1.4,0,0,0,0,0,3.36,0,0,0.93,0,2.04,0
 24-34,0,0,0.65,1.1,0,0.66,14.67,0,0,0,0,0.8,0
 36-46,0,0,0,0.87,0,0,4.92,0,1.65,0,18.1,3.18,0
 48-58,1.79,0,0.88,0,0,0.45,20.16,0,0,0,0,2.26,0
 60-70,10.46,1.84,0,3.34,0,0,3.17,2.27,0,0,0,0,0
 72-82,0,0,0,5.19,0,0,2.41,0,0,0,0,0,0
 84-94,1.12,0,0,0.6,2.32,0,0,0,0,0,0,0,4.19
 96-106,0,0,0,0,0,0,1.75,0,0,0,0,0,0
108-118,3.5,0,0,1.39,0,0.85,9.66,0,0,0,0,0,0
120,0,0,0,0,0,0,2.94,0,0,0,0,0,0
