stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,80.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.17,0,0,0,16.74,0,0,11.67,0,0,0,0,0,0,0
 14-21,0,0,0,2.71,31.72,0.88,0,12.13,0,0,2.64,2.35,0,0,0,1.16,0,0,0,7.49,0,0,7.29,84.92,0,1,0,1.22,0,12.27,0.88,2.53,20.21,22.72,0,0,0.97,0
 24-34,0,0,0,0,3.77,2.32,0,8.42,0,0,2.45,1.93,0,1.06,0,0.86,0,1.2,0,16.82,0,0,7.86,80.22,0,0.6,0.64,0,19.18,0,0.93,0,2.69,26.87,0,0,0.7,1.8
 36-46,0,0,0,0,3.33,0,0,16.9,5.14,0,3.12,0,0,10.82,0,0,0,0,0,6.9,0,0,0.6,71.01,0,1.47,0.57,0,37.29,0,0,0,0,4.96,0,0,0,0
 48-58,0,0,0,0,1.21,0,0,55.97,0,0,11.9,0,0,0.71,4.78,0,0,0,0,24.12,0,1.04,3.99,103.65,0,1.32,0.4,0,4.45,0,1.07,0,0,10.74,0,0,0.45,0
 60-70,0,0,0,0,4.31,0,0,30.29,0,0,4.26,0,0,0,0.82,0,0,0,0,9.5,0,6.79,0,100.18,0,0,0.82,0,6.05,0,0,0,0,9.04,0,0,0,2.38
 72-82,0,0,0,0,0,0,0,52.75,0,3.83,6.05,0,0,1.15,2.76,0,0,0,0,21.9,0,0,3.01,91.35,0,0.97,0,0,4.21,0,0,0,0,14.97,0,3.13,3.72,0
 84-94,0,0,0,0,1.86,0,0,36.99,0,0,2.45,1.02,0,0,1.97,0,0,0,4.37,11.05,0,0.78,0.68,62.76,0,0,0,0,5.34,0,0,0,0,13.05,0,0.88,0,1.02
 96-106,0,0,0,0,8.49,5.83,0,37.47,2.14,0,7.81,0,0,0,5.05,0,0,0,0,14.62,1.13,0,0.62,40.29,2.3,0,0,0,11.06,0,0,0.6,0,7.47,1.44,0,1.6,0.62
108-118,0,0,0.85,0,1.32,4.23,0,44.15,0.55,0.45,8.99,4,0,0,3.62,0,1.43,0,1.77,5.38,0,0,0,104.7,0,0.52,0,0,1.24,0,0,0,0,6.26,0.44,0,1.34,0.85
120,0,0,0,0,7.46,8.59,1.03,35.98,0,0,42.36,0,0,0,1.45,0,0,0,0,8.38,0,0,11.74,88.39,0,3.86,0,0,0,0,0,0,0,1.19,0,0,0,0
