stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.89,0,5.29,110.93,25.86,0,26.41,0,0,0,9.06,2.03,3.78,3.13,0,1.16,0,0,0,7.61,38.95,1.09,0,26.47,255.95,5.14,4.32,0.94,7.81,0,44.07,46.51,6.69,3.5,25.37,69.18,0,0,0.85,0,3.62
 24-34,0,0.6,0,21.32,2.66,0,68.01,0,3.18,0.63,10.95,0.92,0,1.33,1.67,0,0,0,0,0.95,67.62,0,0,30.85,541.12,1.55,0.72,5,0,0,9.7,0,0,1.65,6.42,104.66,0,0,11.02,0,0
 36-46,0,0,0,19.65,7.95,0,142.32,0,0,2.9,30.87,0,0,0.92,1.07,0,14.63,1.91,0,0,39.36,0,0,3.84,541.77,3.77,2.47,1.19,0,0,17.66,0,1.02,0,0,67.34,0,0,11.38,0,3.6
 48-58,0,0,0,10.44,3.11,0,223.99,0.97,0.44,0.4,26.44,2.3,0,0,0,6.53,8.93,5.41,0.37,0,40.12,2.73,3.5,10.42,489.18,3.82,0.84,0.51,0,0.53,2.66,0,3.3,0,0,59.75,0,0,11.57,0,14.87
 60-70,0,0,0,18.7,0,0,159.83,0,2.49,0,15.49,4.09,2,0,2.23,0,0,1.12,2.6,0,64.82,0,1.82,1.47,344.53,7.52,0,0,0,0,6.94,0,0,0,0,28.47,0,0,4.97,0,0
 72-82,0,0,0,13.86,0.95,0,98.11,0,0,1.2,19.3,0.76,0,0,0.83,1.39,0,0,0,0,38.71,0,0.51,4.7,192.4,0,1.29,1.32,0,0,2.18,0,0,0,0,6.52,0,0,3.7,0,0
 84-94,0,1.05,0,16.62,2.05,0,53.93,0,0,4.34,10.56,1.71,0,0,2.9,1.01,0,0.84,0,2.48,57.42,0,6.89,1.27,144.37,2.16,0,4.65,0,0,16.18,0,0.62,0,0,12.39,0,7.43,6.55,0,0
 96-106,0,0,0,10.69,10.69,0,52.64,0,2.1,4.34,15.28,4.18,0,0,5.88,0.63,0,1.28,0.98,3.27,24.19,5.09,0,4.75,80.01,0,0.73,4.07,0,0,18.77,0,0,0,0,0.78,0,5.05,5.23,0,0
108-118,0,1.56,0,9.32,3.64,0.46,64.67,0,0,2.53,15.74,2.72,0,1.61,3.73,2.32,0.74,0.51,1.45,0.64,45.14,0,0,0.59,163.33,1.24,0.47,2.19,0,0.91,19.38,0,0,0,0,0,0.41,0.64,2.47,0.61,0
120,0,0,0,1.67,11.43,0,48.98,0,4.16,1.92,25.37,3.24,0,0,3.78,1.45,0,0,3.99,0,44.94,0,0,3.29,155.49,7.94,0,3.28,0,0,6.99,0,0,0,0,0,0,0,23.68,0,0
