stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,15.26,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,1.05,0,0,28.25,1.93,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0
 36-46,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,21.22,0,0,6.68,2.43,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,1.88,16.43,0,0,8.35,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.66,0,0,0,4.19,0,0,0,0,0,30.76,2.81,0,0,0.68,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.78,0,0,0,14.37,0,0,2.38,20.53,0,0,0,0,1.05,452.85,15.85,0,0,2.52,53.28,0,1.65,0.49,0,3.14,0,0,0,1.29,0,0.81,0.9,0.64,3.44
 84-94,0,0,0,1.25,0.86,2.96,17.33,0,0,15.29,60.04,2.61,0,0,0,0.67,1799.99,11.72,0,0,1.64,80.2,0,0,0,0,1.97,0,0.63,0,0,0,0,2.8,0,0
 96-106,0,0,0,12.08,46.39,0.9,73.01,1.25,1.02,15.62,24.01,1.72,2.71,0.94,0,0,3176.45,57.36,0,0,5.55,345.42,0.85,1.93,2.14,0,29.82,0,0,0,4.58,0,3.09,5.3,0,0
108-118,0,0,0,6.16,11.75,3.06,94.46,0,5.22,22.79,39.12,0,5.7,1.03,1.84,0.87,5846.94,38.75,0,7.22,7.49,312.71,1.5,1.21,2.81,2.63,8.52,5.08,0,0,7.07,1.2,0,1.65,7.27,0
120,0,0,0,4.51,3.07,0,22.62,7.18,0,20.97,11.81,0,0,0,1.11,0,2252.58,26.73,9.06,0,1.71,237.01,0,2.34,2.28,0,6.12,0,0,0,0,0,2.41,2.4,0,0
