stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.05,37.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.63,0,0,0,0,0,0
  5-6,0,17.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,0,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,2.82,0,0,0
 24-34,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.59,22.75,0,0,0.81,0,0,6.25,0,0,0
 36-46,0,0,0,0,0.84,0,0,1.15,0,0.6,1.54,0,0,0,0,0,2.43,0,0,40,2.3,0,0,0,0,10.79,0,0,0
 48-58,0,0,0,0,0,0.4,0,13.04,0,0,5.86,0,0,0,0,0.59,1.91,0,0,30.26,0,0,4.68,0,0,2.21,0,0,0
 60-70,0,0,0,0,0,0,0,8.34,1.49,0,2.51,0,0,0,0,0,0,0,0,29.56,0,0,0,0,0,1.05,3.22,0,0
 72-82,0,0,0.53,0,0.61,6.85,0,5.34,0,2.18,7.58,0,0,0,1.24,0,1.57,0,0.69,20.12,0,0,0.64,0,0,0.95,0,0,0
 84-94,0,0,0,0,0,0.66,0,2.81,0,2.12,3.1,1.6,0,0,0,0,5.92,0,0,25.27,0,0,1.19,0,0.69,0,0,0,0
 96-106,0,0,0,0,0.82,2.73,0,27.87,0,0,1.21,0,0,0,3.26,0,14.88,0,0.59,16.74,0,2.06,2.07,0,1.2,0,0,0.93,0
108-118,0,0,0,0,1.52,6.05,0.98,14.54,0,0.74,7.64,0,0.51,0,2.59,0,4,1.06,0,25.19,0,1.68,9.39,1.45,1.94,0,0.65,0,1.72
120,0,0,0,0,4.66,3.05,0,13.02,0,3.49,10.83,0,1.01,1.88,1.42,0,5.84,0,3.73,42.55,0,0,9.41,0,0,3.8,0,0,0
