stage,epidermis,mesenchyme,muscle,neural,otic,periderm
 24-34,0.64,0,0,0,0,0
 36-46,0,0.71,1.35,0,0,0.95
 48-58,0,0.95,0,1.61,0,5.68
 60-70,0,1.25,0,0,0,0
 84-94,3.02,0,0,0,0,1.89
 96-106,0,1.36,0,0,0.9,0
108-118,0.41,2.69,1.31,0,0,0
