stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.32,512.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0
  5-6,28.21,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.86,0,0,0,25.82,0,6.57,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,6.63,0,9.16,0,0,62.12,0,0,0,0,19.29,0,0,0,0,0,0,0,0,0,0,285.35,4.44,0,0,110.45,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.62,0,23.84,0,4.44,35.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.91,4.59,0,0,90.14,0,0,0,0,24.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.28,1.98,5.91,0,0,2.29,1,0,0,0,0,0,0,0,0,11.67,0,0.81,111.1,0,0,2.04,0.97,0,0,0,11.7,0.96,3.3,50.61,0,0,0,0,0
 24-34,0,0,0,0.67,2.56,0,14.77,0,0,1.39,0,0,1.41,0,0.68,0,0,0,0,16.21,0,4.01,190.47,0,1.38,0.71,0,0,3.95,0,0,0,1.89,32.33,0,0,4.45,0,0
 36-46,0,0,0,0,0.6,0,40.23,0,0,15.33,0,0,0,0,0,0,0,0,0,11.91,0,2.13,197.7,0,0.99,0.76,0,0,2.18,0,0,0,0,40.73,0,0,0.91,0,0
 48-58,0,0,0,0,2.3,0,52.15,0.4,0,28.42,0,0,0.39,0,0,2.21,0,0,0,24.92,0,1.04,200.18,0,0.38,0.4,0,0,7.47,0,0,0,0,34.67,0,0.4,1.5,0,0.54
 60-70,0,0,0.89,0,7.33,0,55.6,0,0,7.05,0,0,0.77,0,0.67,0,0.66,0,0,22.06,0.84,1.19,73.11,0,0,2.96,0,1.22,3.98,0,0,0,0,7.38,0,0,0.64,0,0
 72-82,0,0,0,0,3.46,0,53.36,0,0.84,11.35,0,0,0,0,0,0,1.43,0,0,30.16,1.33,3.05,86.68,1.71,2.53,4.16,0,0,1.44,0,0,0,0,28.44,0.94,0.85,2.29,0,2.08
 84-94,0,0,2.22,0,2.41,0,38.03,0,0,5.27,0,0,0,0,0,0,3.08,0,0,25.54,1.77,5.36,67.92,2.57,1.96,0,0,0,3.72,0,0,0,0,2.84,0,0,1.16,0,0
 96-106,0,0,0,0,3.82,0,45.38,1.35,0,14.69,3.77,0,2.51,1.23,0,0,3.31,0,0,19.35,0,3.01,80.04,0,0.57,0,0,0,11,1.35,0,0,0,4.5,2.22,0.78,5.79,0.98,0
108-118,0,0,0.84,0,13.89,0,30.23,0.43,0,14.31,1.87,0,0,2.1,0,0,3.83,0,0.58,44.28,0,3.5,86.78,0,0.53,2.13,0,0,2.27,0,0,0,0,9.13,0,0,1.92,0,0
120,0,0,0,0,14.13,0,38.06,2.96,3.09,12.66,0,0,0,8.16,0,0,0,3.61,0,11.7,0,7.55,170.12,0,4.41,0,0,11.51,0,0,0,0,0,1.64,0,0,0,0,0
