stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,21.7,1791.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0
  5-6,70.71,5588.45,0,12.33,0,0,0,0,0,0,0,0,56.8,0,0,0,0,0,0,0,0,0,0,0,49.33,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0
  7-9,56.18,934.3,0,114.69,0,0,15853.72,0,0,0,0,0,147.52,0,0,0,0,0,0,0,0,0,0,0,18233.06,38.68,0,0,506.69,0,3.63,8.13,0,0,0,0,0,0,0
 10-12,0,216.81,0,32.02,0,0,8082.94,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0,7222.47,0,0,0,112.28,0,8.1,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.42,24.2,6.7,65.56,0,0.82,0,1.11,0.82,0,0,0,0,0,0,0,0,0.9,0,0,0,891.07,0,2.51,2.06,0.92,0,0,0,1.66,7.57,0,0,0,0,0
 24-34,0,0,0,0,4.38,0,7.82,0,7.57,0,42.41,0.92,0,0.62,0,0,0,0,0,0,2.76,0,0,2.38,191.7,3.95,1.34,1.88,0,0,1.27,0,0.71,4.13,0,0,2.4,0,0
 36-46,0,0,0,0,0.63,0,20.2,0,0,0,10.99,0,0,0,0,0.61,0,0,0,0,2.92,0,0,2.55,228.74,1.67,0.6,0,0,0,9.67,0,0,37.96,0,0,0,0,0
 48-58,0,0,0,0,5.78,0,42.32,0,0,0.7,9.43,0,0,0,0,0,0.68,0.46,0,0,6.85,0,0,0.42,240.97,2.02,8.12,0.4,0,0,3.75,0,0,41.91,0,0,4.49,0,0
 60-70,0,0,0,0,0.82,0,57.76,0,3.35,0.86,29.84,0,0,0,0,0,0,0,0,0,10.8,1.14,0,0,157.92,0,2.97,0,0,0,0,0,0,17.97,0,0,0,0,2.81
 72-82,0,0,0,0,0,3.51,92.94,1.07,2.05,0,24.9,0,0,0,0,0,0.75,1.06,0,0,20.04,0,0,1.03,162.43,0.53,4.92,1.46,0,0,5.92,0,0,14.9,0,0.61,0.54,0,0
 84-94,0,0,0.81,0,0,0,39.22,0.69,0,0,13.12,1.39,0,0,0,0,0.76,0,0,0.71,21.6,0,0.58,6.55,153.21,2.13,0,0,0,0,0.81,0,0,5.54,0.86,0,1.29,0,2.83
 96-106,0,0,0,0,3.31,0,43.67,0,0,1.65,1.76,2.9,0,0,0.66,0.97,0,0,1.68,0,14.52,0,0,1.78,72.13,0,0.6,3.5,0,0,3.71,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.44,0,38.03,0,0,0,13.11,0.48,0,0,0.44,0,0.53,2.07,2.15,2,12.83,0,0,2.79,100.07,0.71,2.58,1.75,0,0.96,0.8,0,0,0,0,0,0.49,0.48,0
120,0,0,0,0,12.64,0,33.78,0,0,0,21.46,6.91,0,0,1.53,0,1.18,0,0,0,2.33,1.1,0,0,371.45,0,2.88,0,0,0,4.85,0,0,11.96,2.37,0,0,0,0
