stage,epidermis,eye,fin.epithelia,gut,liver,mesenchyme,mucous,muscle,neural,periderm,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0.85,0,0,0,0
 24-34,9.87,0,0,0,0,0,0,1.12,0,12.96,0,0,1.99
 36-46,13.95,0,0,0,0,0.94,0.64,0,3.1,46.3,0.73,0,0
 48-58,2.2,0,0,0,0,0.9,0,0,2.27,7.43,0,0,0
 60-70,0,3.3,0,0,0,6.64,0,0,4.28,44.74,1.94,0,0
 72-82,0,0,8.16,0,0,9.09,0,0,9.56,123.83,0,0,0
 84-94,1.65,1.71,5.93,0,0,3.7,5.61,0,0,116.39,0,0,4.88
 96-106,3.71,4.69,45.35,0,1.38,11.57,1.24,0,17.17,390.22,2.32,8.78,0
108-118,10.17,12.31,30.76,3.73,0,2.71,0,0,7.7,344.67,0,0,0
120,11.46,1.83,8.07,0,0,0,0,0,13.36,309.23,0,0,0
