stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord
  3-4,11.1,252.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,264.53,0,0,0,0,0,0,0,0,0,0,0,47.74,0,0,0,0,0,0
  7-9,3.39,0,3.48,0,14.99,0,0,4.45,0,0,0,0,0,122.85,0,22.83,0,7.71,0,0
 10-12,0,0,4.07,0,33.27,0,0,0,0,0,0,0,0,110.7,0,29.48,0,0,0,0
 14-21,0,0,0,0.85,0,0,0,0,0,0,0.87,0,0,19.11,0,0.82,0,0,3.28,8.17
 24-34,0,0,0,1.82,5.12,0,1.04,0,0,0,1.37,0.81,0,30.95,2.05,0,0.97,0,0,3.06
 36-46,0,0,0,0,9.06,0,0.93,0,0,0,1.49,0,0,14.28,0,0,0,0,0,2.57
 48-58,0,0,0,0,6.65,0,0,0,0.44,0.48,1.14,0,0,5.47,0.4,0,0,0,0,1.58
 60-70,0,0,0,0,5.2,0,0.97,0,0,0,2.5,0,0,8.3,0,0,0,0,0,0
 72-82,0,0,0,0,1.52,0,0.68,0,0,0,3.31,0,0,1.07,0,0,0,0,0,0
 84-94,0,0,0,0.68,0,0,0,0,0,0,1.86,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0
108-118,0,0,0,0,7.71,0.88,0.57,0,0,0,1.54,0,0,2.04,0,0,0.79,0,0,0
120,0,0,0,0,2.7,0,0,0,0,0,4.35,0,0,4.29,1.45,0,1.7,0,0,0
