stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.93,1.66,0.92,0,4.93,0,0,0,3.61,0,0,0,0,1.26,0,0,0,0,2.52,0,0,0.81,53.83,0,1.03,0,1.19,0,16.34,4.3,8.92,17.94,0,0,0,0,0
 24-34,0,0,1.41,0,0,4.08,0,0,0,2.49,0,0,0,0,0,0,0,1.34,1.28,2.34,0,0,0,60.47,1.3,0,1.55,0,0,16.06,0,0.74,6.56,0,0,2.52,0,0
 36-46,0,0,0.67,0.81,0,6.2,0,0,0,0,0,0,0,1.96,0,0,0,0,0,7.78,0,0,6.73,70.35,0,0,0,0,0,44,0,0,10.02,0,0,1.5,0,0
 48-58,0,0,1.26,0,0,21.48,0,0,0.86,11.21,0,0.7,0,0,7.02,1.04,0,1.47,0,7.44,0,0.38,1.5,54.83,5.65,0,1.38,0,0.4,25.16,0,0,16.78,0,0,1.26,0,0
 60-70,0,0,5.89,0,0,24.98,0.81,0,0,3.17,0,0,0,5.47,0,0,0,0,0,2.71,0,2.9,0,15.13,1,0,0.85,0,0,26.05,0,0,3.96,0,0,0.9,0,0
 72-82,0.62,0,4.37,0,0,8.6,0,0,0.88,23.12,0.54,0,0,0,3.53,4.27,0.55,0,0,29.48,1.06,2.79,1.61,12.3,0.52,2.53,2.8,0,0,29.7,0,0,0,1.84,0,0.71,0.79,8.35
 84-94,2.33,0,9.49,2.06,0,16.6,0,3.88,0.92,34.43,1.54,0.99,0,2.84,2.41,1.64,2.69,0.86,0,22.9,3.72,0.72,0,52.16,0,2.81,1.42,0,0,78.71,0,0,4.27,3.29,0,3.69,0.77,2.76
 96-106,0.63,0,30.16,0.94,0,9.54,0,0,0,50.65,0,0,0,1.4,1.94,0,0,0,0,34.77,7.04,0.94,5.45,16,0.57,1.62,7.33,0,1.03,16.98,0,0,3.2,3.23,0,2.91,3.76,0
108-118,0,0.49,25.69,1.82,6.56,70.12,0,4.8,1.06,84.56,0.96,0,2.4,3.31,7.45,2.89,5.49,4.47,0,76.37,7.96,8.34,5.24,110.8,0.45,3.79,4.92,0,1.49,55.72,0,0,6.86,5.48,0,9.92,10.24,8.43
120,0,0,15.06,0,0,37.34,0,2.22,13.32,56.27,3.37,0,0,0,7.09,1.11,0,0,0,43.45,0,21.26,7.16,57.42,0,0,4.4,0,0,33.65,0,0,15.71,0,19.72,17.87,0,0
