stage,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,liver,mesenchyme,mural.cell,neural,otic,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 24-34,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,8.86,0,0,0,0,0,0,0,0.66,0,0,0,0
 48-58,0,0,69.74,0,0,0,0.43,0,0,0,7.89,0,1.68,0,0
 60-70,0,0,177.87,0,0,0,3.74,0,0,0,5.73,0,0,0,0
 72-82,0,0,150.44,0,0.79,0,1.2,0,0.55,0,15.23,0.71,0,0,0.67
 84-94,0,0,167.91,0,0.62,0,6.79,0,0.61,1.03,2.25,0,0,0,0
 96-106,0,0,78.54,1.29,0,0,9.61,0.63,0,0,8.36,0,0,0,0
108-118,0,0.46,103.19,0,0,0.45,11.46,0,0,0,2.85,0,0,2.74,0
120,1.39,14.25,219.21,0,0,0,65.86,0,0,0,18.74,0,0,2.25,0
