stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,38.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.04,0,0,0,0,0,0,0,0,0,0,12.12,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,13.33,15.91,0,0,0,0,0,0
 10-12,0,6.89,0,0,0,0,0,0,0,7.48,0,0,7.65,0,0,0,0
 14-21,0,0,3.24,0,0,0,0,0,0.86,1.37,0,0,0,0,0,0,0
 24-34,0,0,4.16,0.76,0,0,0,0,0,0,0,1.09,0,0.61,0,0,0
 36-46,0,0,4.55,0.95,2.55,0,0,0,0,2.46,0,0,0,0,0,0,0
 48-58,0,0,6.66,1.45,1.87,0.43,0,0,0,1.41,0,0,0,0,0.41,0,1.18
 60-70,0,0,2.22,1.09,7.67,1.55,0,0,0,0.78,0,2.61,0,0,0,0,0
 72-82,0,0,7.58,0,0.58,0,0,0.53,0.74,4.74,0,2.2,0,0,0,0,0
 84-94,0,0,5.51,0.67,3.58,0,0,0,0,0,0,0,1.35,0,0,0.83,0.86
 96-106,0,0,1.73,4.13,0.62,0,0.77,0,0,0,0,0,0,0,0,0,0
108-118,0,0,2.76,0,2.19,0,0,0,0,5.16,0,1.99,0,0,0,0,0
120,0,0,31.7,0,6.99,0,0,0,0,18.39,0,18.32,0,0,0,0,0
