stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,80.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.77,30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.47,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,6.6,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.6,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,5.24,0,0,0,0,0,0,0.89,6.39,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0.71,1.77,0,0.81,31.72,0,0,0,2.17,0,3.25,0.63,23.77,1.05,0
 36-46,0,0,0,0,0,0,0,0.88,0,0,0,0.83,0,0,0,1,0,0,0.66,1.68,0,0.66,90.19,0,0,0,0.76,0,2.51,0,9.83,0,0
 48-58,0,0,0,0,0,0,0,9.44,1.56,0,0,4.41,0,0,0,0,0,0,0.86,1.1,0,0.92,143.95,0,0,0,0,0,1.43,0,10.43,0,3.91
 60-70,0,0,0,0,1,0,0,60.84,0.66,0,0,4.85,0,0,0,0,5.95,0,2.07,5.63,0,1.36,185.48,0,0,0,0,0,3.64,0,21.2,8.84,0
 72-82,0,0,0,0,0,2.4,0,128.5,1.49,0.8,0,5.34,0,0,0,0,0,0,2.2,5.63,0,1.35,201.11,1.66,0,0,0,0,0,0,11.84,0.62,0
 84-94,0,0,0,0,0.76,0,0,64.37,2.3,0,2.16,7.79,0.64,0,0,0,0,1.53,3.34,7.22,4.57,0,157.57,4.25,0,0,3.43,0,0.61,0,0.87,0,0
 96-106,0,0,1.14,0,0.7,3.97,0,71.34,0,0,0,7.04,1.19,0,0.61,0,6.67,0,13.78,6.49,0,0,128.52,0,0,0,6.67,0.63,0.6,0,2.72,0,0
108-118,0,0,0,0,2.68,0,2.47,73.52,1.23,0,0,13.52,1.35,0.58,0,0,0,0,2.12,1.41,2.12,0.5,121.75,0,3.57,0,3.82,0,0,0,3.19,0,0
120,0,0,0,0,2.81,0,2.35,93.43,2.29,0,0,5.22,0,2.99,0,0,0,0,0,3.49,0,0,232.59,0,0,0,10.92,1.02,0,0,1.64,0,0
