stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.27,0,0,10.78,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.41,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.44,0,0,32.11,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,1.16,0,0,1.94,0,0,0,26.16,2.25,0.93,0,0,0,0,0,3.61,11.19,0,0,0,0,0
 24-34,0,0.96,0,6.83,0,0,9.72,0,1.37,0,1.19,0.67,0,0,0.83,0,0,0.79,0.66,0,0,277.47,11.44,2.33,0,0,0,0,0,0,32.86,0,0,1.79,0,0
 36-46,0,0,0,2.96,0,0,43.77,0,3.72,0,9.45,0,0,0,0,0,0,8.17,0,0,0.58,631.44,13.73,0.65,0,0,0,0,0,0,124.06,0,0,0,0,0
 48-58,0,0,0,8.9,0,0,133.97,0,0,0,10.46,0,0.54,0,0,0,0,17.95,0,0,0,700.21,7.77,0,0,0,0,0,0,0,121.71,0,0,0.77,0,0
 60-70,0,0,0,22.8,0,0,188.4,0,0,0,7.53,0,0,0,5.42,1.16,0,23.42,0,0,0,508.2,29.34,1.57,0,5.6,0,0,0,0,65.08,0,0,0,0.87,2.59
 72-82,0,0.71,0,1.69,5.25,0,192.39,0,3.67,0,6.7,6.49,0,0.69,0.66,0,9.19,24.09,0,0.87,1.79,435.92,21.9,8.73,0,0,0,0,0,0,42.91,0,0.51,0.58,1.27,0
 84-94,0,0,0,9.63,6.1,0,128.27,0,0.78,0,13.28,1.66,0,0.61,0.94,2.44,0,28.05,0,3.04,0,300.29,18.26,2.36,0,0,0,0,9.21,0,37.55,1.46,0,4.22,2.44,0
 96-106,0,0.83,0,2,0,1.05,178.92,0.57,0,0,29.7,1.11,0,1.58,0.56,2.28,0,20.45,0,0.66,1.42,256.95,17.78,2.61,0,6.96,2.06,0,0,0,6.46,0,1.65,0,3.78,0
108-118,0,0,0,7.48,0,0,235.38,0.42,1.03,0.88,24.66,0.75,0,5.19,0.55,0.7,0.48,14.62,0,1.23,0,307.84,13.34,3.04,0,4.61,0,1.69,0,0,12.94,0,0.9,0,4.71,0
120,0,4.41,0,23.91,22.44,0,307.13,0,3.07,0,106,0,0,3.35,3.08,1.77,0,11.64,0,0,2.44,557.96,68.02,0,0,2.27,0,3.52,0,0,32.82,7.52,0,10.1,5.89,0
