stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0
 24-34,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,7.46,0,0.63,0,0.64,5.4,0,0,0,168.41,0.83,0,0,0,0
 36-46,0,0,0,2.08,0,0.57,3.2,0,0,0,0,0,0,0,0,0,4.21,0,0,1.82,1.26,0,0,289.23,2.54,0,0,0,0
 48-58,5.27,0,0,15.97,0,4.39,0,0,0,0,0.61,0,0,0,0,1.77,0,0,2.16,26.17,0,0,0,379.45,1.39,0,1.49,0,0
 60-70,2.82,0,0,10.68,0,13.68,0,0,0,0,4.95,0,0,0,0,3.78,0,0,2.53,46.21,0,0.69,0,629.45,5.64,0,0,0,0
 72-82,4.2,0,0,12.48,0,8.97,0.86,0.66,0,0,1.78,0,0,0,0,9.94,2.69,0,0,25.83,0,0,0,404.6,1.71,0,1.08,0,3.1
 84-94,10.01,4.55,0,7.43,0,19.53,6.4,0,0.78,0,13.38,0.65,0,0.83,0,5.34,8.45,0,0,22,0,0,0,1117.94,0,0,1.22,0,0
 96-106,19.34,11.38,0.63,26.43,4.97,25.05,5.25,0,0,0,9.85,0,1.1,0,0,10.36,15.62,3.68,1.42,14.76,0,2.96,1.96,1399.41,8.42,0,3.87,0,0
108-118,25.33,0.99,0,10.55,0.76,43.12,1.54,1.11,0,1.86,16.94,1.93,0,5.63,0,8.65,17.37,0,0.6,23.03,0,0,0,1224.98,0,0.71,0,0.57,0
120,27.14,0,0,23.15,0,42.7,15.27,0,0,1.01,11.19,0,0,0,0,8.58,4.25,0,1.86,42.14,0,0,0,769.54,0,0,0,0,0
