stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,visceral.smooth.muscle
  5-6,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,1.8,0
 24-34,0,1.21,0,2.07,0,0,0,0,0,0.64,0,0,0.72,0,0.73,0
 36-46,0,0,0,0.66,0,0,0,0,0,20.23,1.22,0,0,0,4.67,0
 48-58,0,0,0,2.1,0.51,0,0,1.62,0,29.01,0.39,0,0.49,0,0.86,0
 60-70,0,0,0,0.83,3.72,0,0,0,0,22.21,0,3.17,0,0,1.65,0
 72-82,0,0,0,2.71,2.02,0,0,0.64,0.59,21.32,0,0,0,0,4.41,0
 84-94,0,0,0,8.64,2.24,0,0,0,1.23,1.42,0,0,0,0,0,0
 96-106,0,0,0,0,0.9,0,0,0,0,7.52,0,0,2.01,0,0,0
108-118,0,0,1.13,1.85,4.73,0,2.61,1.63,1.32,13.58,0,0,0,0,4.38,2.26
120,0,0,0,3.81,0,3.58,0,0,0,5.94,0,0,0,0,0,0
