stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,112.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.38,7.03,0,0,0,0,2.29,0,0,4.11,0,0,0,0
 24-34,0,0.7,0,0,0,0,0,0,7.85,0,0,0,9.69,0,0,6.31,4.54,1.71,0,0,0,0,0,2.15,2.34,0,0.76,0,0
 36-46,0,0,2.41,0,0.72,2.08,0,0,2.15,0,0,0,8.29,0,2.05,8.46,0,2.39,0.61,0,0,0,0,0,1.97,0,0,0,0
 48-58,0,0,0.43,0,0,1.73,0,0,0.39,0,0,0,13.15,0,0.42,11.19,3.77,0,0,0.56,0.88,0,0.4,0,0.78,0,0,0,0
 60-70,0,1.17,6.96,0,0,0.6,0,0,10.25,0,0,0,66.54,0,2.02,26.41,4.84,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.49,11.95,0,0,7.3,0,0,2.1,0,1.08,0,87.45,6.01,1.18,11.95,0,0,0,0,0,0,0,0,0,0.75,0,0,0
 84-94,0,2.36,10.49,0,0,2.25,0,0.6,0,0,0,6.93,79.03,13.72,1.79,15.12,0,10.35,0,0,5.52,0,2.8,0,0,3.52,3.21,0,0
 96-106,0,0,9.02,0,0.69,2.68,0.61,0,3.76,0.75,2.9,0,112.8,18.2,0,19.21,0.7,0,0,0,0.61,0,0,0,0,0,0,0,0
108-118,0,0,1.72,1.01,1.57,12.38,0,0,0,0,2.48,0,154.92,6.63,3.64,23.7,1.18,0,0,0,0.94,0,0,0,4.07,4.74,0,1.55,3.13
120,0,0,6.69,0,0,17.51,0,0,2.27,0,6.57,0,117.72,46.64,2.4,29.15,0,0,0,0,0,0,0,0,0,0,0,10.92,0
