stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,9.34,0,0,30.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.96,0,0,0,0,0,0,0,0,0,37.22,22.62,0,0,11.95,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,0,2.26,0,0,0,0,0,0,0,0,66.86,1.29,0,0,0,0,0,0.92,0,16.14,0,0
 24-34,0,0,0,0,0.89,2.66,0,0,0,0,0,2.89,0,0,252.63,0,3.77,0,0,0,0,0,0,23.27,0,0
 36-46,0,0.73,0,0,1.5,4.91,0,0,0,0,0,3.28,0,2.2,548.44,0,13.89,1.58,0,0,0,0,0,59.78,0,2.27
 48-58,0,0,2.16,0.47,17.54,13.92,0,0,0,0,0,3.17,0,0.54,608.3,0,3.15,1.22,0,0,0,0,0,73.02,0,0
 60-70,0,0.89,0,0,78.73,2.25,0,0,0,0,0,11.45,0,0,721.72,0,1.12,0,0,0,0,0,1.12,76.45,0,0.99
 72-82,0,0,3.45,0,57.03,8.93,0,0,0.68,0,0,10.67,0,0,609.2,0,0.53,0,0,0,0,0,0,76.1,0,0
 84-94,0,0,5.51,0,81.41,9,1.94,4.17,0,0,0,17.35,0.66,0,375.03,0,0.66,0,0,0,0,0,0,25.92,2.12,0.66
 96-106,0,0,0.79,0,58.43,9.5,0,2.93,0,0.95,10.33,7.5,0,0,388.91,0,1.85,0.59,0,0,0,0,0,9.24,0,0
108-118,0,0,1.76,0,69.1,2.09,1.41,0.51,0,1.01,0,5.72,0,0,380.83,0,2.32,0,0,2.26,0.64,0,0,18.8,0,3.98
120,0,0,1.21,0,76.58,16.98,0,0,15.14,0,0,16.41,0,0,426.45,0,1.54,0,0,0,0,0,0,0,0,0
