stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,hatching_gland,iridophores,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord
  3-4,16.62,183.68,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0
  5-6,9.76,128.43,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0
  7-9,0,0,0,0,0,0,4.94,0,0,22.12,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,15.32,0
 14-21,0,0,1.81,0,0,0,0,0,0,0,1.08,0,0,0,1.21,1.94
 24-34,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0
 36-46,0,0,1.27,0,0,0,0,0,1.25,10.27,0,0,0,0,1.61,0.78
 48-58,0,0,0,1.25,0,0,0,0,1.36,6.63,0,0.44,0,0,0,0.64
 60-70,0,0,0.71,5.22,7.02,0,0,0,10.71,10.8,0,0.85,0,0,0,0
 72-82,0,0,0,1.98,0,0,0,0,12.57,2.84,0,0,0,0,0,0
 84-94,0,0,0,0.69,0,4.92,0,0.62,14.33,0,0,0,0,0,0,0
 96-106,0,0,0.6,5.76,0,0,0,0,3.41,7.71,0,0,0,0,0,1.86
108-118,0,0,0,8.5,0,0.47,0,0,9.27,2.71,0,0.54,0,0,1.57,0
120,0,0,0,0,0,0,0,0,40.11,0,0,0,0,0,1.53,0
